Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow||HDSC, hardoi",2025_UPIDC_1043171_1,01/EE/2025-26,Silt clearance of Bannai drain from km. 0.000 to 2.810 in district Hardoi (Lot-02),1.0,5231107.0,M/s. Yagya Prakash Mishra Contractor,INR,"170,998.128",1,5230307,M/S NAND KISHOR CONTRACTOR,02-Jun-2025 05:31 PM,Rejected-Finance,Rejected due to higher rate to L1,04-Jun-2025 09:11 AM,17-Jun-2025,"INR 170,998.128",12.0,AJAY KUMAR CHAUDHARI,01-Sep-2025 12:18 PM,Bannai_YagyaPrakash.pdf (149.00 KB),Due to L1 and work is completed,Akhilesh Kumar Gautam EE,Internal,ANKIT KUMAR GAUTAM DAO RAJEEV KUMAR TRIVEDI COMPUTER,akhilesh gautam,04-Jun-2025 09:11 AM,finsummary_1892980.pdf (283.58 KB),Technical,Paatrata letter,akhilesh gautam,03-Jun-2025 10:00 PM,technical_1892980.pdf,Akhilesh Kumar Gautam EE,Internal,ANKIT KUMAR GAUTAM DAO RAJEEV KUMAR TRIVEDI COMPUTER,akhilesh gautam,03-Jun-2025 10:05 PM,04-Jun-2025 09:00 AM,techsummary_1892980.pdf (283.58 KB),Finance,Patrata letter,akhilesh gautam,04-Jun-2025 09:06 AM,finance_1892980.pdf,BOQ Comparative Chart,AOC,Executive Engineer,EE HDSC Hardoi,677.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,All technical documents,1.0,SBI Bank,"5,700",No,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow||HDSC, hardoi",01/EE/2025-26,2025_UPIDC_1043171_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Silt clearance of Bannai drain from km. 0.000 to 2.810 in district Hardoi (Lot-02),Silt clearance of Bannai drain from km. 0.000 to 2.810 in district Hardoi (Lot-02),Please refer Tender documents. ,NA ,"2,85,000",Civil Works - Canal,Silt Clerarance of Drain ,Rate Contract,90.0,12.0,Hardoi,241001.0,NA ,NA ,NA ,EE HDSC Hardoi,No ,No,27-May-2025 12:00 PM,03-Jun-2025 10:00 AM,27-May-2025 12:00 PM,03-Jun-2025 10:00 AM,NA ,NA ,27-May-2025 12:00 PM,03-Jun-2025 10:00 AM,04-Jun-2025 09:00 AM,AOC
,,,,,,,,,2,5231031,M/S SAMRAT TRADERS,02-Jun-2025 06:54 PM,Rejected-Finance,Rejected due to higher rate to L1,04-Jun-2025 09:11 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5231107,M/s. Yagya Prakash Mishra Contractor,02-Jun-2025 11:35 PM,Accepted-AOC,Due to L1,01-Sep-2025 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5231024,SHRI BABA NEEM KAROLI ENTERPRISES,02-Jun-2025 06:54 PM,Rejected-Technical,Rejectecd by commitee,03-Jun-2025 10:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
