Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,1655 Date 19-08-2025,2025_REDUP_1067835_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,766.0,Nil,Nil,No,EE RED,Vikash Bhavan Varanasi,Gram daffalpur vikas khand kashi vidyapith me lalta rajbhar ke ghar se profesar upadhyay ji ke ghar tak interlocking karya.,Gram daffalpur vikas khand kashi vidyapith me lalta rajbhar ke ghar se profesar upadhyay ji ke ghar tak interlocking karya.,Please refer Tender documents. ,NA ,"10,36,000",Civil Works,NA ,Tender,90.0,90.0,Vikash Bhavan Varanasi,221002.0,NA ,NA ,NA ,Vikash Bhavan Varanasi,No ,No,1.0,SBI Bank,"20,720",Yes,percentage,2.0%,Nil,Nil,26-Aug-2025 12:00 PM,03-Sep-2025 12:30 PM,26-Aug-2025 12:00 PM,03-Sep-2025 12:00 PM,NA ,NA ,26-Aug-2025 12:00 PM,03-Sep-2025 12:00 PM,10-Sep-2025 12:00 PM,1,Fee/PreQual/Technical,.pdf,Tender doc,AOC,EE,Internal,,SHAILENDRA PRASAD,10-Sep-2025 12:32 PM,finsummary_1947699.pdf (111.27 KB),Technical,Admitted,Rajesh Kumar Yadav,10-Sep-2025 10:58 AM,,EE,Internal,,Rajesh Kumar Yadav,10-Sep-2025 11:00 AM,10-Sep-2025 12:00 PM,techsummary_1947699.pdf (491.05 KB),Finance,Admitted,SHAILENDRA PRASAD,10-Sep-2025 12:30 PM,,BOQ Comparative Chart,1,5510312,GEMPRO INDIA ENTERPRISES,30-Aug-2025 08:38 PM,Rejected-Finance,L2,10-Sep-2025 12:32 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,2025_REDUP_1067835_1,1655 Date 19-08-2025,Gram daffalpur vikas khand kashi vidyapith me lalta rajbhar ke ghar se profesar upadhyay ji ke ghar tak interlocking karya.,1.0,5510222.0,JAI MAA BHAWANI CONSTRUCTION,INR,"1,034,974.39",18-Sep-2025,"INR 1,034,974.39",90.0,SHAILENDRA PRASAD,18-Sep-2025 01:23 PM,1942.pdf (755.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5510222,JAI MAA BHAWANI CONSTRUCTION,30-Aug-2025 07:48 PM,Accepted-AOC,L1,18-Sep-2025 01:23 PM,,,,,,,,,,,,,,,,AOC
