Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Repariring work of Child Development Project Office Payagrpur_2,Repariring work of Child Development Project Office Payagrpur_2,Please refer Tender documents. ,NA ,"1,70,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Engineer, R.E.D. Bahraich",No ,No,1.0,SBI Bank,596.0,Nil,Nil,No,01-Sep-2025 12:00 PM,06-Sep-2025 12:30 PM,01-Sep-2025 12:00 PM,06-Sep-2025 12:00 PM,NA ,NA ,01-Sep-2025 12:00 PM,06-Sep-2025 12:00 PM,09-Sep-2025 12:00 PM,Executive Engineer,"Office of the Executive Engineer, R.E.D. Bahraich",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"558/RED/E-Tender(15)/2025-26, Dt. 26.08.2025",2025_REDUP_1070031_2,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"3,400",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Technical bid document,AOC,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,09-Sep-2025 01:15 PM,finsummary_1952339.pdf (69.46 KB),Technical,Technical bid open,Sujit Kumar Sinha,06-Sep-2025 01:33 PM,technical_1952339.pdf,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,08-Sep-2025 04:21 PM,09-Sep-2025 12:00 PM,techsummary_1952339.pdf (374.85 KB),Finance,Financial bid open,Sujit Kumar Sinha,09-Sep-2025 12:47 PM,finance_1952339.pdf,BOQ Comparative Chart,1.0,5513689.0,MAHADEV TRADERS,INR,"199,599.66",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2025_REDUP_1070031_2,"558/RED/E-Tender(15)/2025-26, Dt. 26.08.2025",Repariring work of Child Development Project Office Payagrpur_2,1,5513689,MAHADEV TRADERS,04-Sep-2025 03:12 PM,Accepted-AOC,AOC,10-Sep-2025 04:59 PM,10-Sep-2025,"INR 199,599.66",180.0,Sujit Kumar Sinha,10-Sep-2025 04:58 PM,002.pdf (96.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5513700,PUSHPA ENTERPRISES,04-Sep-2025 05:12 PM,Rejected-Finance,High,09-Sep-2025 01:15 PM,,,,,,,AOC
