Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
13-Aug-2025,"INR 143,662.2",7.0,Arun Sachdev,14-Sep-2025 07:42 PM,asaraa.pdf (185.00 KB),L1,Technical,Technical,Arun Sachdev,01-Jun-2025 06:16 PM,technical_1890897.pdf,Arun Sachdev,Internal,,Arun Sachdev,06-Jun-2025 10:17 AM,06-Jun-2025 11:00 AM,techsummary_1890897.pdf (31.26 KB),1.0,5220379.0,Shri Baldhari Yadav,INR,"143,662.2",Arun Sachdev,Internal,Manoj Singh,Arun Sachdev,13-Aug-2025 10:52 PM,finsummary_1890897.pdf (48.43 KB),Finance,upload,Arun Sachdev,13-Aug-2025 09:39 PM,finance_1890897.pdf,BOQ Comparative Chart,1,5213109,KAPIL DEO YADAV,27-May-2025 12:44 PM,Rejected-Finance,3,13-Aug-2025 10:52 PM,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Drainage Circle, Ballia||FD, azamgarh",2025_UPIDC_1042093_12,01/EE/2025-26,Earth work in excavation for correcting internal section/Silt clearence of Asara Drain From km. 0.000 to km. 7.400.,AOC,677.0,Nil,Nil,No,24-May-2025 09:00 AM,29-May-2025 01:00 PM,24-May-2025 10:00 AM,29-May-2025 10:00 AM,NA ,NA ,24-May-2025 10:00 AM,29-May-2025 10:00 AM,06-Jun-2025 11:00 AM,"10,000",No,fixed,,Nil,Nil,1.0,SBI Bank,E.E. Fd Azamgarh,EE Flood Division Azamgarh,1.0,Fee/PreQual/Technical,.pdf,Technical,1.0,Date Extend,Date,,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Drainage Circle, Ballia||FD, azamgarh",01/EE/2025-26,2025_UPIDC_1042093_12,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Earth work in excavation for correcting internal section/Silt clearence of Asara Drain From km. 0.000 to km. 7.400.,Earth work in excavation for correcting internal section/Silt clearence of Asara Drain From km. 0.000 to km. 7.400.,Please refer Tender documents. ,NA ,"4,87,581",Civil Works,NA ,Tender,15.0,NA ,Azamgarh,276001.0,NA ,NA ,NA ,Azamgarh,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5221478,Ms B S Construction,28-May-2025 11:18 PM,Rejected-Finance,2,13-Aug-2025 10:52 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5221922,M/S MANGALA PRASAD YADAV,28-May-2025 10:13 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Jun-2025 06:16 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5219719,M/S NIRMALA RAI CONTRACTOR,27-May-2025 07:45 PM,Rejected-Technical,Not Qualified,06-Jun-2025 10:17 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5215514,M/S RAVINDRA SINGH,28-May-2025 01:29 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-May-2026 11:36 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5219289,MS SUNIL KUMAR MISHRA CONTRATOR AND BUILDING,28-May-2025 10:50 AM,Rejected-Finance,4,13-Aug-2025 10:52 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5221553,Shri ARUN KUMAR SINGH,28-May-2025 09:58 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Jun-2025 06:16 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5220379,Shri Baldhari Yadav,28-May-2025 12:28 PM,Accepted-AOC,L1,14-Sep-2025 07:42 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5214194,SHRI DINESH KUMAR,25-May-2025 05:00 PM,Rejected-Finance,5,13-Aug-2025 10:52 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5218017,SRI BHOLANATH YADAV,27-May-2025 11:09 AM,Rejected-Finance,6,13-Aug-2025 10:52 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
