Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,2025_SCIDC_1049887_2,04/EE/BJR/PMJANMAN/2025-26 Dt. 18-06-2025,"UNDER PRADHAN MANTRI JANMAN YOJANA ESTABLISHMENT OF MULTIPURPOSE COMMUNITY CENTER IN VILLAGE CHATRUWALA, BLOCK NAJIBABAD, DISTRICT-BIJNOR.",1.0,5360278.0,RANA FABRICATORS,INR,"3,588,554.4",1,5360278,RANA FABRICATORS,21-Jul-2025 09:10 AM,Accepted-AOC,AMOUNT IS LOWEST,10-Sep-2025 12:11 PM,14-Aug-2025,"INR 4,485,693",180.0,Avdhesh kumar Verma,10-Sep-2025 12:11 PM,04NIT20WOBJR.pdf (325.00 KB),LOI OF WORK,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,08-Aug-2025 03:38 PM,finsummary_1922332.pdf (184.72 KB),Technical,TECHNICAL REPORT,Avdhesh kumar Verma,01-Aug-2025 05:43 PM,technical_1922332.pdf,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,01-Aug-2025 05:45 PM,02-Aug-2025 10:00 AM,techsummary_1922332.pdf (236.80 KB),Finance,FINANCIAL REPORT,Avdhesh kumar Verma,08-Aug-2025 03:33 PM,finance_1922332.pdf,BOQ Comparative Chart,AOC,"E.E., UPSCIDCO, BIJNOR","E.E. OFFICE, UP STATE CONSTRUCTION AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD., SAMAJ KALYAN CAMPUS, KANTH ROAD, MORADABAD",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,04/EE/BJR/PMJANMAN/2025-26 Dt. 18-06-2025,2025_SCIDC_1049887_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,Fee/PreQual/Technical,.pdf,TENDER NOTICE,11-Jul-2025 04:00 PM,21-Jul-2025 11:00 AM,11-Jul-2025 04:00 PM,21-Jul-2025 10:00 AM,NA ,NA ,11-Jul-2025 04:30 PM,21-Jul-2025 10:00 AM,02-Aug-2025 10:00 AM,1.0,RTGS - RTGS Payment,"90,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,"1,652",U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,No,"UNDER PRADHAN MANTRI JANMAN YOJANA ESTABLISHMENT OF MULTIPURPOSE COMMUNITY CENTER IN VILLAGE CHATRUWALA, BLOCK NAJIBABAD, DISTRICT-BIJNOR.","UNDER PRADHAN MANTRI JANMAN YOJANA ESTABLISHMENT OF MULTIPURPOSE COMMUNITY CENTER IN VILLAGE CHATRUWALA, BLOCK NAJIBABAD, DISTRICT-BIJNOR.",Please refer Tender documents. ,NA ,"44,85,693",Civil Works,NA ,Tender,60.0,180.0,BIJNOR,246763.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, MORADABAD",No ,No,AOC
,,,,,,,,,2,5359579,R S CHOUDHARY TRADERS,20-Jul-2025 09:21 PM,Rejected-Finance,AMOUNT IS HIGH,08-Aug-2025 03:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
