Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,731/EE/RED/GKP/25-26 date 09-06-25,2025_REDUP_1052437_10,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,Executive Engineer,Vikash Bhawan,30-Jun-2025 09:00 AM,09-Jul-2025 09:00 AM,30-Jun-2025 09:00 AM,08-Jul-2025 12:00 PM,NA ,NA ,30-Jun-2025 09:00 AM,08-Jul-2025 12:00 PM,16-Jul-2025 12:00 PM,Block-SardarNagar Gram Panchayt Jaipur mein Main Road se Vipat ke Ghar Hote hue Dwarika ke Ghar Tak CC Road Ka Nirman,Block-SardarNagar Gram Panchayt Jaipur mein Main Road se Vipat ke Ghar Hote hue Dwarika ke Ghar Tak CC Road Ka Nirman,Please refer Tender documents. ,NA ,"20,03,000",Civil Works,NA ,Tender,90.0,90.0,Gorakhpur,273001.0,NA ,NA ,NA ,Vikhash Bhawan,No ,No,896.0,Nil,Nil,No,"40,060",No,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Technical,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2025_REDUP_1052437_10,731/EE/RED/GKP/25-26 date 09-06-25,Block-SardarNagar Gram Panchayt Jaipur mein Main Road se Vipat ke Ghar Hote hue Dwarika ke Ghar Tak CC Road Ka Nirman,1,5287896,M/S AWADHESH SINGH,07-Jul-2025 03:43 PM,Accepted-AOC,L1,12-Sep-2025 01:11 PM,1.0,5287896.0,M/S AWADHESH SINGH,INR,"2,001,085.16",Finance,Opend,AMIT KUMAR RAJ,19-Jul-2025 11:13 AM,,BOQ Comparative Chart,Executive Engineer,Internal,,Shachindra Singh,19-Jul-2025 03:52 PM,finsummary_1913670.pdf (154.33 KB),Technical,Opend,Shachindra Singh,10-Jul-2025 11:34 AM,,01-Aug-2025,"INR 2,001,085",90.0,Shachindra Singh,12-Sep-2025 01:11 PM,bpdf.pdf (154.00 KB),Executive Engineer,Internal,,Shachindra Singh,16-Jul-2025 10:49 AM,16-Jul-2025 12:00 PM,techsummary_1913670.pdf (295.36 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,AOC,,,,,2,5289246,M/S R.K.TRADERS,07-Jul-2025 04:37 PM,Rejected-AOC,L2,12-Sep-2025 01:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
