Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE FAIZABAD,241/EE RED AYODHYA/25-26 Dt 21/04/2025,2025_REDUP_1045943_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"EE RED AYODHYA, Vikas Bhawan, Ayodhya","EE RED AYODHYA, Vikas Bhawan, Ayodhya","1,180",Nil,Nil,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fees and Technical Documents,"26,400",No,percentage,2.0%,Nil,Nil,"Under District Ayodhya, Construction of Interlocking road from Ramnagar Bodhitala intersection to Surendra Singh house in development block Bikapur, Lot No 8","Under District Ayodhya, Construction of Interlocking road from Ramnagar Bodhitala intersection to Surendra Singh house in development block Bikapur, Lot No 8",Please refer Tender documents. ,NA ,"13,20,000",Civil Works,NA ,Tender,90.0,90.0,Ayodhya,225001.0,"EE RED AYODHYA, Vikas Bhawan, Ayodhya ","EE RED AYODHYA, Vikas Bhawan, Ayodhya ",05-Jun-2025 11:00 AM ,"EE RED AYODHYA, Vikas Bhawan, Ayodhya",No ,No,04-Jun-2025 06:55 PM,11-Jun-2025 03:00 PM,04-Jun-2025 06:55 PM,11-Jun-2025 12:00 PM,NA ,NA ,04-Jun-2025 06:55 PM,11-Jun-2025 12:00 PM,30-Jun-2025 03:00 PM,AOC,Er M K Lodhi EE RED Ayodhya,Internal,,Mahendra Kumar,03-Sep-2025 08:03 PM,finsummary_1899040.pdf (707.40 KB),Technical,Summary,Munesh Kumar Lodhi,13-Jun-2025 04:42 PM,,Er Munesh Kumar Lodhi EE RED Ayodhya,Internal,"Er Munesh Kumar Lodhi EE RED Ayodhya, Er M K Singh AE RED Ayodhya, Mr Somesh Verma DAO RED Ayodhya",Somesh Verma,30-Jun-2025 02:49 PM,30-Jun-2025 03:00 PM,techsummary_1899040.pdf (2013.63 KB),Finance,Summary,Munesh Kumar Lodhi,05-Jul-2025 09:23 AM,,BOQ Comparative Chart,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE FAIZABAD,2025_REDUP_1045943_8,241/EE RED AYODHYA/25-26 Dt 21/04/2025,"Under District Ayodhya, Construction of Interlocking road from Ramnagar Bodhitala intersection to Surendra Singh house in development block Bikapur, Lot No 8",1.0,5239256.0,M/S SINGH CONSTRUCTIONS,INR,"1,477,800",1,5239256,M/S SINGH CONSTRUCTIONS,07-Jun-2025 06:51 PM,Accepted-AOC,AOC,03-Sep-2025 08:09 PM,03-Sep-2025,"INR 1,477,800",90.0,Mahendra Kumar,03-Sep-2025 08:09 PM,241_8.pdf (707.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Fees and Technical Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5239266,M/s Siyaram Construction,07-Jun-2025 07:23 PM,Rejected-Finance,Rejected,03-Sep-2025 08:03 PM,,,,,,,AOC
