S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,5504597.0,SHIVSHAKTI CONSTRUCTION,INR,"1,272,635.29",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE DEORIA,2025_REDUP_1068331_1,680/RED DEORIA/E-TENDER/2025-26. DATED 25.07.2025,SHIVPUR COLONY (RAMNATH DEORIA WARD NO. 28) RAHUL TIWARI KE GHAR SE ANAND MODANWAL KE GHAR HOTE HUE RITESH MISHRA KE GHAR TKA CC,1,5504637,M/s Maa Gaytri Construction,30-Aug-2025 10:58 AM,Rejected-Finance,Highest Rate,18-Sep-2025 07:43 PM,18-Sep-2025,"INR 1,272,635.29",120.0,Surya Prakash,18-Sep-2025 07:46 PM,106.pdf (1373.00 KB),Er. Surya Prakash,Internal,,Surya Prakash,18-Sep-2025 07:43 PM,finsummary_1948922.pdf (1373.13 KB),Technical,Technical Bid Open,Surya Prakash,02-Sep-2025 03:57 PM,,Er. Surya Prakash,Internal,,Surya Prakash,04-Sep-2025 11:29 AM,04-Sep-2025 12:00 PM,techsummary_1948922.pdf (338.58 KB),Finance,Financial Bid Open,Surya Prakash,04-Sep-2025 12:59 PM,,BOQ Comparative Chart,AOC,SHIVPUR COLONY (RAMNATH DEORIA WARD NO. 28) RAHUL TIWARI KE GHAR SE ANAND MODANWAL KE GHAR HOTE HUE RITESH MISHRA KE GHAR TKA CC,SHIVPUR COLONY (RAMNATH DEORIA WARD NO. 28) RAHUL TIWARI KE GHAR SE ANAND MODANWAL KE GHAR HOTE HUE RITESH MISHRA KE GHAR TKA CC,Please Refer Tender Document ,NA ,"15,03,000",Civil Works,NA ,Tender,120.0,120.0,DEORIA,274001.0,NA ,NA ,NA ,DEORIA,No ,No,1.0,SBI Bank,26-Aug-2025 10:00 AM,02-Sep-2025 02:30 PM,26-Aug-2025 10:00 AM,01-Sep-2025 12:00 PM,NA ,NA ,26-Aug-2025 10:00 AM,01-Sep-2025 12:00 PM,04-Sep-2025 12:00 PM,"OFFICE OF THE EXECUTIVE ENGINEER, RURAL ENGINEERIN","OFFICE OF THE EXECUTIVE ENGINEER, RURAL ENGINEERING DEPARTMENT, DIVISION DEORIA","30,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Tender Notice,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE DEORIA,680/RED DEORIA/E-TENDER/2025-26. DATED 25.07.2025,2025_REDUP_1068331_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,854.0,Nil,Nil,No,AOC
,,,,,,,,,2,5504597,SHIVSHAKTI CONSTRUCTION,29-Aug-2025 10:29 AM,Accepted-AOC,Lowest Rate,18-Sep-2025 07:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
