Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE FAIZABAD,2025_REDUP_1045943_1,241/EE RED AYODHYA/25-26 Dt 21/04/2025,"Under District Ayodhya, Construction of Interlocking road from Shiv Kumar Singh house to Dhemendra Singh house in Shankarpur of development block Bikapur, Lot No 1",1.0,5239274.0,M/S SINGH CONSTRUCTIONS,INR,"1,019,382",1,5239274,M/S SINGH CONSTRUCTIONS,07-Jun-2025 07:12 PM,Accepted-AOC,AoC,03-Sep-2025 08:13 PM,03-Sep-2025,"INR 1,019,382",90.0,Mahendra Kumar,03-Sep-2025 08:13 PM,241_1.pdf (679.00 KB),Er Munesh Kumar Lodhi EE RED Ayodhya,Internal,"Er Munesh Kumar Lodhi EE RED Ayodhya, Er Jai Singh AE RED Ayodhya, Mr Somesh Verma DAO RED Ayodhya",Somesh Verma,30-Jun-2025 02:36 PM,04-Jul-2025 03:00 PM,techsummary_1899023.pdf (1917.91 KB),Finance,Summary,Munesh Kumar Lodhi,05-Jul-2025 09:17 AM,,BOQ Comparative Chart,Er M K Lodhi EE RED Ayodhya,Internal,,Mahendra Kumar,03-Sep-2025 07:59 PM,finsummary_1899023.pdf (678.85 KB),Technical,Summary,Munesh Kumar Lodhi,13-Jun-2025 04:34 PM,,AOC,04-Jun-2025 06:55 PM,11-Jun-2025 03:00 PM,04-Jun-2025 06:55 PM,11-Jun-2025 12:00 PM,NA ,NA ,04-Jun-2025 06:55 PM,11-Jun-2025 12:00 PM,04-Jul-2025 03:00 PM,"Under District Ayodhya, Construction of Interlocking road from Shiv Kumar Singh house to Dhemendra Singh house in Shankarpur of development block Bikapur, Lot No 1","Under District Ayodhya, Construction of Interlocking road from Shiv Kumar Singh house to Dhemendra Singh house in Shankarpur of development block Bikapur, Lot No 1",Please refer Tender documents. ,NA ,"9,10,000",Civil Works,NA ,Tender,90.0,90.0,Ayodhya,225001.0,"EE RED AYODHYA, Vikas Bhawan, Ayodhya ","EE RED AYODHYA, Vikas Bhawan, Ayodhya ",05-Jun-2025 11:00 AM ,"EE RED AYODHYA, Vikas Bhawan, Ayodhya",No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE FAIZABAD,241/EE RED AYODHYA/25-26 Dt 21/04/2025,2025_REDUP_1045943_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"18,200",No,percentage,2.0%,Nil,Nil,1.0,SBI Bank,"EE RED AYODHYA, Vikas Bhawan, Ayodhya","EE RED AYODHYA, Vikas Bhawan, Ayodhya",1,Fee/PreQual/Technical,.pdf,Fees and Technical Documents,"1,180",Nil,Nil,No,AOC
,,,,,,,,,2,5240108,M/s Siyaram Construction,07-Jun-2025 07:42 PM,Rejected-Finance,Rejected,03-Sep-2025 07:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Fees and Technical Documents,,,,,AOC
