S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,5191408.0,M/S OM PRAKASH ARYA,INR,"893,728",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Banda,2025_SCIDC_1036446_1,22/EE/Jhansi/ET/2025-26,"Janpad Jhansi ke Block Babina ke gram Bedora me Samudayik Bhavan ka nirman karya. (Under Scheme SN 2024-25) Hon ble Shri Anurag Sharma Ji, MP, Jhansi-Lalitpur",1,5192030,M/S GOVIND DAS ARYA,15-May-2025 04:51 PM,Rejected-Finance,High Rate,23-May-2025 05:14 PM,24-May-2025,"INR 893,728",90.0,Rajesh Chaudhary,26-Sep-2025 03:37 PM,Baidoraaoc.pdf (591.00 KB),The work is awarded to M/s Om Prakash Arya,EE,Internal,AE Asstt Acctt,Rajesh Chaudhary,23-May-2025 05:14 PM,finsummary_1877737.pdf (608.14 KB),Technical,Technical Summary,Rajesh Chaudhary,20-May-2025 11:39 AM,technical_1877737.pdf,EE,Internal,AE Asstt Acctt,Rajesh Chaudhary,20-May-2025 11:40 AM,20-May-2025 04:00 PM,techsummary_1877737.pdf (631.37 KB),Finance,Financial Summary,Rajesh Chaudhary,23-May-2025 05:11 PM,finance_1877737.pdf,BOQ Comparative Chart,AOC,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Banda,22/EE/Jhansi/ET/2025-26,2025_SCIDC_1036446_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"Janpad Jhansi ke Block Babina ke gram Bedora me Samudayik Bhavan ka nirman karya. (Under Scheme SN 2024-25) Hon ble Shri Anurag Sharma Ji, MP, Jhansi-Lalitpur","Janpad Jhansi ke Block Babina ke gram Bedora me Samudayik Bhavan ka nirman karya. (Under Scheme SN 2024-25) Hon ble Shri Anurag Sharma Ji, MP, Jhansi-Lalitpur",Please refer the tender document ,NA ,,Civil Works - Others,NA ,Tender,90.0,90.0,Bedora,284401.0,NA ,NA ,NA ,Jhansi,No ,No,1.0,RTGS - RTGS Payment,08-May-2025 11:00 AM,16-May-2025 02:00 PM,08-May-2025 11:00 AM,16-May-2025 01:30 PM,08-May-2025 11:00 AM ,16-May-2025 01:00 PM ,08-May-2025 11:00 AM,16-May-2025 01:30 PM,20-May-2025 04:00 PM,"18,000",Yes,fixed,,UPSCIDCO,Jhansi,Executive Engineer,UPSCIDCO Jhansi,1,Fee/PreQual/Technical,.pdf,Technical Document,"1,062",UPSCIDCO,Jhansi,Yes,AOC
,,,,,,,,,2,5191408,M/S OM PRAKASH ARYA,15-May-2025 01:26 PM,Accepted-AOC,The rates quoted by the contractor are the lowest,26-Sep-2025 03:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ Document,,,,,AOC
