Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Tender Stage
UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TE) East Allahabad||S.E. ETC Ghazipur,2025_UPTCL_1040890_1,Short Term E-Tender No. 09 ETC-II(vns)2025-26,Work,1.0,5230225.0,Neelkanth Construction,INR,"474,520",1,5229922,A K ENTERPRISES,02-Jun-2025 09:32 AM,Rejected-Finance,L-3,02-Sep-2025 11:39 AM,02-Sep-2025,"INR 474,520",60.0,Mithilesh Kumar,02-Sep-2025 11:43 AM,AgNo12.pdf (5073.00 KB),Ag No. 12 ETC-II(VNS)/2025-26 Date 01.09.2025,SE,Internal,EE AND ZAO,Mithilesh Kumar,27-Jun-2025 11:51 AM,27-Jun-2025 12:00 PM,techsummary_1888078.pdf (160.29 KB),Finance,Summary,Mithilesh Kumar,27-Jun-2025 01:06 PM,finance_1888078.pdf,BOQ Comparative Chart,SE,Internal,EE AND ZAO,Mithilesh Kumar,02-Sep-2025 11:39 AM,finsummary_1888078.pdf (156.16 KB),Technical,Summary,Mithilesh Kumar,27-Jun-2025 11:46 AM,technical_1888078.pdf,AOC,590.0,EE ETD GHAZIPUR,GHAZIPUR,No,Work,Work,Please refer Tender documents. ,NA ,"7,00,000",Electrical Works,NA ,Tender,180.0,60.0,Jaunpur,222001.0,NA ,NA ,NA ,400KV S/S Sarnath Varanasi,No ,No,UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TE) East Allahabad||S.E. ETC Ghazipur,Short Term E-Tender No. 09 ETC-II(vns)2025-26,2025_UPTCL_1040890_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Part-1,"7,000",No,fixed,,EE ETD GHAZIPUR,GHAZIPUR,22-May-2025 10:30 AM,03-Jun-2025 02:00 PM,22-May-2025 11:00 AM,02-Jun-2025 04:00 PM,NA ,NA ,22-May-2025 03:00 PM,02-Jun-2025 04:00 PM,27-Jun-2025 12:00 PM,1.0,RTGS - RTGS Payment,SE,400KV S/S Sarnath Varanasi,AOC
,,,,,,,,,2,5228202,M/S PRABHATT ENGINEERING WORKS,31-May-2025 04:41 PM,Rejected-Finance,L-4,02-Sep-2025 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Part-2,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5230038,M/S Shree Constraction,02-Jun-2025 10:57 AM,Rejected-Finance,L-5,02-Sep-2025 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5230172,M/S SUPER TRADING COMPANY,02-Jun-2025 12:41 PM,Rejected-Finance,L-2,02-Sep-2025 11:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5230225,Neelkanth Construction,02-Jun-2025 03:49 PM,Accepted-AOC,L-1,02-Sep-2025 11:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
