Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
EE,Internal,,SHAILENDRA PRASAD,23-Jul-2025 07:08 PM,26-Jul-2025 12:00 PM,techsummary_1906753.pdf (681.07 KB),20-Sep-2025,"INR 1,712,477.38",90.0,SHAILENDRA PRASAD,20-Sep-2025 03:53 PM,1404.pdf (814.00 KB),Technical,Admitted,SHAILENDRA PRASAD,23-Jul-2025 04:17 PM,,Finance,Admitted,SHAILENDRA PRASAD,26-Jul-2025 02:13 PM,,BOQ Comparative Chart,EE,Internal,,Rajesh Kumar Yadav,31-Jul-2025 06:21 PM,finsummary_1906753.pdf (110.27 KB),1.0,5355551.0,M/S DEV CONSTRUCTION,INR,"1,712,477.38",1,5355551,M/S DEV CONSTRUCTION,19-Jul-2025 09:32 AM,Accepted-AOC,L1,20-Sep-2025 03:53 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,2025_REDUP_1049180_11,366 Date 13-05-2025,Bhatsar Gairaha Marg se Sadhan Sahkari Samiti Haribhanpur Hote huye Shivshankar Ke Makan tak Interlocking sadak Nirman.,AOC,Bhatsar Gairaha Marg se Sadhan Sahkari Samiti Haribhanpur Hote huye Shivshankar Ke Makan tak Interlocking sadak Nirman.,Bhatsar Gairaha Marg se Sadhan Sahkari Samiti Haribhanpur Hote huye Shivshankar Ke Makan tak Interlocking sadak Nirman.,Please refer Tender documents. ,NA ,"17,14,000",Civil Works,NA ,Tender,90.0,90.0,Vikash Bhavan Varanasi,221002.0,NA ,NA ,NA ,Vikash Bhavan Varanasi,No ,No,"34,280",Yes,percentage,2.0%,Nil,Nil,854.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,366 Date 13-05-2025,2025_REDUP_1049180_11,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,EE RED,Vikash Bhavan Varanasi,1,Fee/PreQual/Technical,.pdf,Tender doc,19-Jun-2025 12:00 PM,19-Jul-2025 12:30 PM,19-Jun-2025 12:00 PM,19-Jul-2025 12:00 PM,NA ,NA ,19-Jun-2025 12:00 PM,19-Jul-2025 12:00 PM,26-Jul-2025 12:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5356671,M/S SWASTIK CONSTRUCTION,19-Jul-2025 10:29 AM,Rejected-Finance,L2,31-Jul-2025 06:21 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,,,,,,,,,,AOC
