Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,010/E.E./BJR/NIDHI/2025-26 Dt. 20-08-2025,2025_SCIDC_1066836_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,TENDER NOTICE,20-Aug-2025 04:00 PM,27-Aug-2025 11:00 AM,20-Aug-2025 04:00 PM,27-Aug-2025 10:00 AM,NA ,NA ,20-Aug-2025 04:00 PM,27-Aug-2025 10:00 AM,29-Aug-2025 10:00 AM,"1,062",U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,No,"Construction work of C.C. road and drain from the house of Chaudhary Ramesh Singh, son of Nandu Singh towards the house of Chaudhary Nardev Singh, son of Bhola Singh in village Akonda, BLOCK- Jalilpur, DISTRICT- BIJNOR. (NIDHI WORK)","Construction work of C.C. road and drain from the house of Chaudhary Ramesh Singh, son of Nandu Singh towards the house of Chaudhary Nardev Singh, son of Bhola Singh in village Akonda, BLOCK- Jalilpur, DISTRICT- BIJNOR. (NIDHI WORK)",Please refer Tender documents. ,NA ,"5,47,550",Civil Works - Roads,NA ,Tender,60.0,60.0,BIJNOR,246701.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, MORADABAD",No ,No,"E.E., UPSCIDCO, BIJNOR","E.E. OFFICE, UP STATE CONSTRUCTION AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD., SAMAJ KALYAN CAMPUS, KANTH ROAD, MORADABAD",1.0,FDR - Fixed Deposit,"11,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,AOC,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,28-Aug-2025 07:13 PM,29-Aug-2025 10:00 AM,techsummary_1945444.pdf (212.84 KB),Finance,FINANCIAL REPORT,Avdhesh kumar Verma,30-Aug-2025 11:27 AM,,BOQ Comparative Chart,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,30-Aug-2025 02:16 PM,finsummary_1945444.pdf (268.14 KB),Technical,TECHNICAL REPORT,Avdhesh kumar Verma,28-Aug-2025 06:54 PM,technical_1945444.pdf,1,5494903,J V CONSTRUCTION,25-Aug-2025 11:03 PM,Accepted-AOC,AMOUNT IS LOWEST,10-Sep-2025 02:29 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,2025_SCIDC_1066836_1,010/E.E./BJR/NIDHI/2025-26 Dt. 20-08-2025,"Construction work of C.C. road and drain from the house of Chaudhary Ramesh Singh, son of Nandu Singh towards the house of Chaudhary Nardev Singh, son of Bhola Singh in village Akonda, BLOCK- Jalilpur, DISTRICT- BIJNOR. (NIDHI WORK)",1.0,5494903.0,J V CONSTRUCTION,INR,"547,002.45",03-Sep-2025,"INR 547,550",60.0,Avdhesh kumar Verma,10-Sep-2025 02:29 PM,010NIT025WOBJR.pdf (99.00 KB),LOI OF WORK,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5482066,MOHD USMAN,24-Aug-2025 10:48 AM,Rejected-Finance,AMOUNT IS HIGH,30-Aug-2025 02:16 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5486403,SAMEER ENTERPRISES,24-Aug-2025 07:36 PM,Rejected-Finance,AMOUNT IS HIGH,30-Aug-2025 02:16 PM,,,,,,,,,,,,,,,,,AOC
