Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
General manager,"General Manager, Zone-2, U.P. Projects Corporation Ltd. 14, Chandra Shekar Nagar Colony, Tulasherpur, Bareilly","17,700","Project Manager, U.P. Projects Corporation Ltd",Bareilly,No,CONSTRUCTION OF MODEL INDOOR MULTI SPORTS COURT AT GOVERNMENT INTER COLLEGE CIVIL LINES DISTRICT- BAREILLY (U.P.),CONSTRUCTION OF MODEL INDOOR MULTI SPORTS COURT AT GOVERNMENT INTER COLLEGE CIVIL LINES DISTRICT- BAREILLY (U.P.),CONSTRUCTION OF MODEL INDOOR MULTI SPORTS COURT AT GOVERNMENT INTER COLLEGE CIVIL LINES DISTRICT- BAREILLY (U.P.) ,NA ,"3,78,00,000",Civil Works,NA ,Tender,360.0,360.0,Bareilly,243122.0,NA ,NA ,NA ,Bareilly,No ,No,10-May-2025 10:00 AM,21-May-2025 03:00 PM,10-May-2025 10:00 AM,21-May-2025 01:00 PM,NA ,NA ,10-May-2025 10:00 AM,21-May-2025 01:00 PM,29-May-2025 03:00 PM,1,Fee/PreQual/Technical,.pdf,Technical Bid,"7,56,000",No,fixed,,"Project Manager, U.P. Projects Corporation Ltd",Bareilly,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-2 Bareilly,04/PCL/GM/ZONE-2/BLY/2025-26,2025_UPPRC_1037566_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,FDR - Fixed Deposit,AOC,General Manager,Internal,,Rajeev Kumar Pandey,26-Sep-2025 01:58 PM,finsummary_1880306.pdf (1001.18 KB),Technical,Comparative,Rajeev Kumar Pandey,27-May-2025 03:18 PM,technical_1880306.pdf,General Manager,Internal,,Rajeev Kumar Pandey,27-May-2025 03:29 PM,29-May-2025 03:00 PM,techsummary_1880306.pdf (1001.18 KB),Finance,Financial Summary,Rajeev Kumar Pandey,26-Sep-2025 01:57 PM,finance_1880306.pdf,BOQ Comparative Chart,1.0,5204513.0,PL ENTERPRISES,INR,"37,573,716.18",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-2 Bareilly,2025_UPPRC_1037566_1,04/PCL/GM/ZONE-2/BLY/2025-26,CONSTRUCTION OF MODEL INDOOR MULTI SPORTS COURT AT GOVERNMENT INTER COLLEGE CIVIL LINES DISTRICT- BAREILLY (U.P.),1,5196659,M/S RAKAM SINGH CONTRACTOR,17-May-2025 07:43 PM,Rejected-Finance,Being II lowest,26-Sep-2025 01:58 PM,27-Sep-2025,"INR 37,573,716.18",360.0,Rajeev Kumar Pandey,26-Sep-2025 02:00 PM,AG18.pdf (603.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5204513,PL ENTERPRISES,20-May-2025 11:04 PM,Accepted-AOC,Work awarded to M/S P.L. Enterprises,26-Sep-2025 02:00 PM,,,,,,,AOC
