Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2025_REDUP_1061688_6,1340/RED/NIVIDA/2025-26 Dt- 14.07.2025,Erach main lala Hardol mandir ke pass sarvajanik Sanskritik karyo hetu ek shed ka nirman karya.,1.0,5514219.0,JAYA SRI INDUSTRIES,INR,"1,647,812",1,5514219,JAYA SRI INDUSTRIES,03-Sep-2025 07:16 AM,Accepted-AOC,Y,25-Sep-2025 03:54 PM,25-Sep-2025,"INR 1,647,812",120.0,RAJNEESH KUMAR,25-Sep-2025 03:54 PM,Erach_Lala.pdf (370.00 KB),FINAL,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,20-Sep-2025 12:03 PM,finsummary_1934518.pdf (369.59 KB),Technical,FINAL,RAJNEESH KUMAR,11-Sep-2025 02:05 PM,technical_1934518.pdf,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,11-Sep-2025 02:07 PM,16-Sep-2025 12:30 PM,techsummary_1934518.pdf (206.72 KB),Finance,FINAL,RAJNEESH KUMAR,20-Sep-2025 12:01 PM,finance_1934518.pdf,BOQ Comparative Chart,AOC,EE RED JHANSI,EE RED JHANSI,31-Jul-2025 04:00 PM,06-Sep-2025 03:30 PM,31-Jul-2025 04:00 PM,06-Sep-2025 12:00 PM,NA ,NA ,31-Jul-2025 04:00 PM,06-Sep-2025 12:00 PM,16-Sep-2025 12:30 PM,"2,354",Nil,Nil,No,Erach main lala Hardol mandir ke pass sarvajanik Sanskritik karyo hetu ek shed ka nirman karya.,Erach main lala Hardol mandir ke pass sarvajanik Sanskritik karyo hetu ek shed ka nirman karya.,Please refer Tender documents. ,NA ,"16,52,000",Civil Works,NA ,Tender,90.0,120.0,Erach main lala Hardol mandir ke pass sarvajanik S,284003.0,NA ,NA ,NA ,EE RED JHANSI,No ,No,"83,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,bid,1.0,date 2,Date,,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,1340/RED/NIVIDA/2025-26 Dt- 14.07.2025,2025_REDUP_1061688_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,5512741,M/S ARYAN ASSOCIATE,02-Sep-2025 11:59 AM,Rejected-Finance,N,20-Sep-2025 12:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,AOC
