Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
SE,400 KV S/S SARNATH VARANASI,WORK,WORK,Please refer Tender documents. ,NA ,"2,48,000",Electrical Works,NA ,Tender,180.0,90.0,Jaunpur,222001.0,NA ,NA ,NA ,400 KV S/S SARNATH VARANASI,No ,No,1.0,RTGS - RTGS Payment,590.0,EE ETD GHAZIPUR,GHAZIPUR,No,"3,000",No,fixed,,EE ETD GHAZIPUR,GHAZIPUR,UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TE) East Allahabad||S.E. ETC Ghazipur,E-TENDER No. 15 ETC-II(VNS)2024-25,2025_UPTCL_994667_2,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Offline,No,No,No,14-Feb-2025 09:00 AM,21-Feb-2025 02:00 PM,14-Feb-2025 09:00 AM,20-Feb-2025 04:00 PM,NA ,NA ,14-Feb-2025 09:00 AM,20-Feb-2025 04:00 PM,06-Mar-2025 02:10 PM,1.0,Fee/PreQual/Technical,.pdf,Part-1,AOC,SE,Internal,EE AND ZAO,Mithilesh Kumar,24-Sep-2025 12:09 PM,finsummary_1800119.pdf (3688.30 KB),Technical,Summary,Mithilesh Kumar,22-Feb-2025 11:54 AM,technical_1800119.pdf,UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TE) East Allahabad||S.E. ETC Ghazipur,2025_UPTCL_994667_2,E-TENDER No. 15 ETC-II(VNS)2024-25,WORK,1.0,4977999.0,MAA BARAHI CONSTRUCTION,INR,"152,692",1,4978553,A K ENTERPRISES,19-Feb-2025 09:41 PM,Rejected-Finance,L-3,24-Sep-2025 12:09 PM,24-Sep-2025,"INR 152,692",90.0,Mithilesh Kumar,24-Sep-2025 12:13 PM,AgNo14.pdf (4439.00 KB),Ag No. 14 ETC-II(VNS)/2025-26,Finance,Summary,Mithilesh Kumar,06-Mar-2025 03:50 PM,finance_1800119.pdf,BOQ Comparative Chart,SE,Internal,ZAO AND EE,Mithilesh Kumar,06-Mar-2025 02:08 PM,06-Mar-2025 02:10 PM,techsummary_1800119.pdf (565.60 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Part-2,AOC,,,,,,,,,,,,,,,,,,,,,2,4980523,Hi-tech power transmission,20-Feb-2025 03:02 PM,Rejected-Finance,L-2,24-Sep-2025 12:09 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,4977999,MAA BARAHI CONSTRUCTION,20-Feb-2025 03:20 PM,Accepted-AOC,L-1,24-Sep-2025 12:13 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,4965778,SANA AND COMPANY,15-Feb-2025 11:34 PM,Rejected-Finance,L-4,24-Sep-2025 12:09 PM,,,,,,,,,,,,,,,,,,,,,AOC
