S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,5393646.0,JAI DURGA ASSOCIATES,INR,"48,099,343",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE,2025_REDUP_1053488_2,956/SE RED Ayodhya/Barabanki/25-26 Dt 24/06/2025,"Under District Barabanki, Construction of Remaining Work Of Government Industrial Training Institute (ITI) Sirauligauspur under Pradhan Mantri Jan Kaushal Program, Lot No 1",1,5393671,JAFARGANJ CONSTRUCTION,31-Jul-2025 08:12 PM,Rejected-Finance,Rejected,23-Sep-2025 03:18 PM,23-Sep-2025,"INR 48,099,343",365.0,KrishnaKumar Mishra,23-Sep-2025 03:19 PM,956_1.pdf (217.00 KB),Er K K Mishra SE RED Ayodhya Circle,Internal,,KrishnaKumar Mishra,23-Sep-2025 03:18 PM,finsummary_1918887.pdf (216.51 KB),Technical,Summary,Gyanedra Kumar,02-Aug-2025 02:35 PM,,Er Isham Singh CE RED East,Internal,"Er Isham Singh CE RED East, Er K K Mishra SE RED Ayodhya Circle, Er Gyanendra Kumar EE RED Lucknow, Er M K Lidhi EE RED Ayodhya, Mr S K Tripathi DAO RED Barabanki",KrishnaKumar Mishra,06-Aug-2025 07:17 PM,11-Aug-2025 12:00 PM,techsummary_1918887.pdf (3109.24 KB),Finance,Summary,Gyanendra Kumar,18-Aug-2025 09:46 AM,,BOQ Comparative Chart,AOC,1.0,SBI Bank,05-Jul-2025 04:00 PM,02-Aug-2025 12:30 PM,05-Jul-2025 04:00 PM,02-Aug-2025 12:00 PM,NA ,NA ,05-Jul-2025 04:00 PM,02-Aug-2025 12:00 PM,11-Aug-2025 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,FEES AND TECHNICAL DOCUMENTS,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE,956/SE RED Ayodhya/Barabanki/25-26 Dt 24/06/2025,2025_REDUP_1053488_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,354",Nil,Nil,No,"9,11,000",No,fixed,,Nil,Nil,SE RED Ayodhya Circle,"SE RED, Bara Ramana Reedganj, Ayodhya","Under District Barabanki, Construction of Remaining Work Of Government Industrial Training Institute (ITI) Sirauligauspur under Pradhan Mantri Jan Kaushal Program, Lot No 1","Under District Barabanki, Construction of Remaining Work Of Government Industrial Training Institute (ITI) Sirauligauspur under Pradhan Mantri Jan Kaushal Program, Lot No 1",Please refer Tender documents. ,NA ,"4,55,58,000",Civil Works,NA ,Tender,90.0,365.0,Barabanki,225001.0,SE RED Ayodhya Circle ,"SE RED, Bara Ramana Reedganj, Ayodhya ",08-Jul-2025 11:00 AM ,SE RED Ayodhya Circle,No ,No,AOC
,,,,,,,,,2,5393646,JAI DURGA ASSOCIATES,31-Jul-2025 06:38 PM,Accepted-AOC,AoC,23-Sep-2025 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL DOCUMENTS(BoQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5393428,M/S PRABHAKAR PANDEY,02-Aug-2025 11:51 AM,Rejected-Technical,Rejected,06-Aug-2025 07:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5395550,M/S SAMEER CONSTRUCTION,02-Aug-2025 11:35 AM,Rejected-Technical,Rejected,06-Aug-2025 07:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5395824,M/S SUDHA SINGH,01-Aug-2025 08:13 PM,Rejected-Technical,Rejected,06-Aug-2025 07:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5391430,SHIV SUNDER CONSTRUCTION & CONSULTANTS PVT LTD,01-Aug-2025 06:00 PM,Rejected-Technical,Rejected,06-Aug-2025 07:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
