Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
03-Sep-2025,"INR 1,833,053",90.0,Mahendra Kumar,03-Sep-2025 06:41 PM,64_2.pdf (637.00 KB),1,5221170,M/S SINGH CONSTRUCTIONS,28-May-2025 03:13 PM,Accepted-AOC,AOC,03-Sep-2025 06:41 PM,1.0,5221170.0,M/S SINGH CONSTRUCTIONS,INR,"1,833,053",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE FAIZABAD,2025_REDUP_1042776_2,64/EE RED AYODHYA/25-26 Dt 07/04/2025,"Under District Ayodhya, Construction of Interlocking road from pucca road to Shesh Pal Singh house in Jalalpur Bhaggu of development block Harringtonganj, Lot No 2",Finance,Summary,Munesh Kumar Lodhi,25-Jun-2025 08:28 AM,,BOQ Comparative Chart,Er Munesh Kumar Lodhi EE RED Ayodhya,Internal,,Somesh Verma,18-Jun-2025 10:47 AM,23-Jun-2025 12:00 PM,techsummary_1892190.pdf (1264.53 KB),Technical,Summary,Munesh Kumar Lodhi,04-Jun-2025 07:13 PM,,Er M K Lodhi EE RED Ayodhya,Internal,,Mahendra Kumar,03-Sep-2025 06:40 PM,finsummary_1892190.pdf (636.60 KB),AOC,"33,200",No,percentage,2.0%,Nil,Nil,26-May-2025 09:00 AM,04-Jun-2025 02:00 PM,26-May-2025 09:00 AM,04-Jun-2025 12:00 PM,NA ,NA ,26-May-2025 09:00 AM,04-Jun-2025 12:00 PM,23-Jun-2025 12:00 PM,"EE RED AYODHYA, Vikas Bhawan, Ayodhya","EE RED AYODHYA, Vikas Bhawan, Ayodhya",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE FAIZABAD,64/EE RED AYODHYA/25-26 Dt 07/04/2025,2025_REDUP_1042776_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Under District Ayodhya, Construction of Interlocking road from pucca road to Shesh Pal Singh house in Jalalpur Bhaggu of development block Harringtonganj, Lot No 2","Under District Ayodhya, Construction of Interlocking road from pucca road to Shesh Pal Singh house in Jalalpur Bhaggu of development block Harringtonganj, Lot No 2",Please refer Tender documents. ,NA ,"16,60,000",Civil Works,NA ,Tender,90.0,90.0,Ayodhya,225001.0,NA ,NA ,NA ,"EE RED AYODHYA, Vikas Bhawan, Ayodhya",No ,No,1,Fee/PreQual/Technical,.pdf,Fees and Technical Documents,1.0,SBI Bank,"1,180",Nil,Nil,No,AOC
,,,,,,2,5221379,M/s Siyaram Construction,28-May-2025 04:18 PM,Rejected-Finance,Rejected,03-Sep-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,AOC
