Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"23,600",Executive Engineer CD UPJN (Urban) Ayodhya,Ayodhya,No,1.0,Corrigendum-2,Date,,Package 1 of Nagar Nigam Ayodhya Sewerage Scheme District-1 Part-II and District-1 Part-I Zone-1 and 2,Surveying Soil investigation design and Supply of all materials labour T and P etc. complete required for completion of following works of Package 1 of Nagar Nigam Ayodhya Sewerage Scheme District 1 Part II and District 1 Part I Zone 1 and 2,As per attached bid document ,NA ,"1,32,73,91,069",Civil Works,Civil work with E and M work ,Tender,120.0,630.0,Nagar Nigam Ayodhya,224001.0,Civil Line Ayodhya ,"Office of The Superintending Engineer, Construction Circle, U P Jal Nigam (Urban), Ayodhya ",21-Mar-2025 03:00 PM ,Civil Line Ayodhya,No ,No,"1,32,74,000",No,fixed,,Executive Engineer CD UPJN (Urban) Ayodhya,Ayodhya,Superintending Engineer,"Office of The Superintending Engineer, Construction Circle, U P Jal Nigam (Urban), Ayodhya",1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,17-Mar-2025 06:20 PM,23-Apr-2025 04:30 PM,17-Mar-2025 06:25 PM,23-Apr-2025 04:00 PM,17-Mar-2025 06:30 PM ,31-Mar-2025 03:00 PM ,17-Mar-2025 06:30 PM,23-Apr-2025 04:00 PM,18-Jun-2025 04:30 PM,1.0,DD - Demand Draft,"U P Jal Nigam (HQ), Lucknow||Chief Engineer (Faizabad)||SE, CC, Faizabad||PM Urban Works Unit Faizabad",526/W-77/05,2025_UPJNM_1018399_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,Managing Director,Internal,CEnagarFinanceDirectorJMDurban,Santosh Kumar Singh,16-Jun-2025 05:47 PM,18-Jun-2025 04:30 PM,techsummary_1836107.pdf (286.57 KB),Finance,Financial bid open on dt. 18-06-2025. M/s Manisha Projects Pvt. Ltd. found L1 bidder,Santosh Kumar Singh,19-Jun-2025 11:00 AM,,BOQ Comparative Chart,CE NAGAR,Internal,CEGKPCELKOSEEELKOSEAYODHYA,Santosh Kumar Singh,22-Jul-2025 06:51 PM,finsummary_1836107.pdf (397.62 KB),Technical,14 bids found and 13 bids admitted.,Santosh Kumar Singh,24-Apr-2025 04:08 PM,,1.0,5137735.0,Manisha Projects Pvt. Ltd.,INR,"924,793,358.42","U P Jal Nigam (HQ), Lucknow||Chief Engineer (Faizabad)||SE, CC, Faizabad||PM Urban Works Unit Faizabad",2025_UPJNM_1018399_1,526/W-77/05,Package 1 of Nagar Nigam Ayodhya Sewerage Scheme District-1 Part-II and District-1 Part-I Zone-1 and 2,1,5120610,AYYAPPA INFRA PROJECTS PRIVATE LIMITED,23-Apr-2025 12:09 PM,Rejected-Finance,Not found lowest,22-Jul-2025 06:51 PM,12-Aug-2025,"INR 924,793,358.41",630.0,Santosh Kumar Singh,08-Sep-2025 01:31 PM,cbltr.pdf (553.00 KB),Contact award to Ist lowest bidder M/s EManisha Projects Pvt. Ltd. with 30.33 percent below. C.B. No. 05/SE/2025-16 dt. 12.08.2025,AOC
,,,,2.0,Corrigendum 1,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5140821,Bhugan Infracon Pvt Lt,23-Apr-2025 03:34 PM,Rejected-Finance,Not found lowest,22-Jul-2025 06:51 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5140061,Dineshchandra R Agrawal Infracon Pvt. Ltd.,23-Apr-2025 01:22 PM,Rejected-Finance,Not found lowest,22-Jul-2025 06:51 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5138144,Eiffil Water Infra Private Limited,23-Apr-2025 03:49 PM,Rejected-Technical,Bidder does not have required technical experience. Bidder has been declared L1 in two projects which has not been disclosed in Form 4A even in case LOA is not issued bidder should have declared L1 under form 4B,16-Jun-2025 05:47 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5140351,EMS LIMITED,23-Apr-2025 03:43 PM,Rejected-Finance,Not found lowest,22-Jul-2025 06:51 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5123685,Envirad Projects Pvt. Ltd.,23-Apr-2025 11:59 AM,Rejected-Technical,JV partner does not have technical experience of required SPS,16-Jun-2025 05:47 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5124717,ENVIRO INFRA ENGINEERS LIMITED,23-Apr-2025 01:40 PM,Rejected-Technical,Bidder has been awarded 1 works 135 MLD STP of Saharanpur under NMCG Contract bond has been signed on 27/09/2024 (CB No.- 05/SE-SRE/2024-25) this work has not been disclosed by the bidder on FORM-4 A,16-Jun-2025 05:47 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5116560,LC Infra Projects Pvt Ltd,23-Apr-2025 03:24 PM,Rejected-Finance,Not found lowest,22-Jul-2025 06:51 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5137735,Manisha Projects Pvt. Ltd.,23-Apr-2025 01:57 PM,Accepted-AOC,Ist lowest bidder.,08-Sep-2025 01:32 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5140867,N.P PATEL AND CO,23-Apr-2025 03:39 PM,Rejected-Technical,Bidder does not have required technical experience Bidder is a partnership firm and only 1 partner has submitted form 1 C As per MP etender website financial bid of M/s N.P. Patel co. is found L1 in Sewerage Project of Morena Town under under AMRU,16-Jun-2025 05:47 PM,,,,,,,,AOC
