S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,SBD,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,132/EE/RED/Tender/2025-26 Dated 17.04.2025,2025_REDUP_1046821_29,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE RED jhansi,EE RED jhansi,1.0,date5,Date,,Gram Kharkamaf Block Mauranipur main Shyamlal Sahu ke makan se Nandraj Vishwkarma ke makan tak apex road va nali nirman karya,Gram Kharkamaf Block Mauranipur main Shyamlal Sahu ke makan se Nandraj Vishwkarma ke makan tak apex road va nali nirman karya,Please refer Tender documents. ,NA ,"11,05,000",Civil Works,NA ,Tender,90.0,90.0,Gram Kharkamaf Block Mauranipur main Shyamlal Sahu,284003.0,NA ,NA ,NA ,EE RED jhansi,No ,No,09-Jun-2025 09:00 AM,25-Jul-2025 03:30 PM,09-Jun-2025 09:00 AM,25-Jul-2025 12:00 PM,NA ,NA ,09-Jun-2025 09:00 AM,25-Jul-2025 12:00 PM,14-Aug-2025 12:30 PM,"56,000",Yes,fixed,,Nil,Nil,854.0,Nil,Nil,No,AOC,1.0,5263471.0,M/S ACCHE LAL,INR,"1,097,517",Finance,final,RAJNEESH KUMAR,03-Sep-2025 11:18 AM,finance_1901583.pdf,BOQ Comparative Chart,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,03-Sep-2025 11:20 AM,finsummary_1901583.pdf (235.71 KB),1,5263477,LUCKY ENTERPRISES,26-Jun-2025 08:09 AM,Rejected-Finance,N,03-Sep-2025 11:20 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2025_REDUP_1046821_29,132/EE/RED/Tender/2025-26 Dated 17.04.2025,Gram Kharkamaf Block Mauranipur main Shyamlal Sahu ke makan se Nandraj Vishwkarma ke makan tak apex road va nali nirman karya,03-Sep-2025,"INR 1,097,517",90.0,RAJNEESH KUMAR,03-Sep-2025 11:22 AM,kharkamaaf.pdf (236.00 KB),YES,Technical,final,RAJNEESH KUMAR,08-Aug-2025 01:22 PM,technical_1901583.pdf,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,08-Aug-2025 01:37 PM,14-Aug-2025 12:30 PM,techsummary_1901583.pdf (207.43 KB),AOC
,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5263471,M/S ACCHE LAL,26-Jun-2025 07:28 AM,Accepted-AOC,Y,03-Sep-2025 11:22 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC
