S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XII Circle Irrigation Works, Lucknow||IDSN, lakhimpur khiri",02/EE/2025-26,2025_UPIDC_1036289_18,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,280.0,Nil,Nil,No,"6,000",No,fixed,,Nil,Nil,24-May-2025 03:00 PM,30-May-2025 11:30 AM,24-May-2025 03:00 PM,30-May-2025 11:00 AM,NA ,NA ,24-May-2025 03:00 PM,30-May-2025 11:00 AM,30-May-2025 02:30 PM,1,Fee/PreQual/Technical,.pdf,tender document,Earth work in clearance of Laukhaniya Drain in between km. 0.000 to km. 0.800,Earth work in clearance of Laukhaniya Drain in between km. 0.000 to km. 0.800,Please refer Tender documents. ,NA ,"2,83,000",Civil Works,NA ,Rate Contract,90.0,15.0,ee id shardanagar lakhimpur kheri,262726.0,NA ,NA ,NA ,ee id shardanagar lakhimpur kheri,No ,No,ee id shardanagar lakhimpur kheri,ee id shardanagar lakhimpur kheri,AOC,ee id shardanagar Lakhimpur-kheri,Internal,ee id shardanagar Lakhimpur-kheri ee id sitapur,Shobhit Kumar Kushwaha,30-May-2025 02:53 PM,finsummary_1891508.pdf (53.75 KB),Finance,fin,Shobhit Kumar Kushwaha,30-May-2025 02:45 PM,,BOQ Comparative Chart,1.0,5221069.0,M/S NAIMISH KUMAR YADAV CONTRACTOR,INR,"138,674.55",1,5219647,Jagat Construction,27-May-2025 06:35 PM,Rejected-Finance,due to higher rates,30-May-2025 02:53 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XII Circle Irrigation Works, Lucknow||IDSN, lakhimpur khiri",2025_UPIDC_1036289_18,02/EE/2025-26,Earth work in clearance of Laukhaniya Drain in between km. 0.000 to km. 0.800,ee id shardanagar Lakhimpur-kheri,Internal,ee id shardanagar Lakhimpur-kheri ee id sitapur,Shobhit Kumar Kushwaha,30-May-2025 01:54 PM,30-May-2025 02:30 PM,techsummary_1891508.pdf (53.75 KB),04-Jun-2025,"INR 283,000",15.0,Karan Pal,16-Sep-2025 01:50 PM,17.pdf (650.00 KB),aoc,Technical,tech,Shobhit Kumar Kushwaha,30-May-2025 01:23 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5221069,M/S NAIMISH KUMAR YADAV CONTRACTOR,28-May-2025 07:29 PM,Accepted-AOC,required paper submitted,16-Sep-2025 01:50 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
