Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Externally Aided Project, Lucknow||Drainage Circle, Lucknow",Letter no.344/DCL/eTender/Dt.06.02.25,2025_UPIDC_1024471_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"5,78,000",No,fixed,,Nil,Nil,"5,409",Nil,Nil,No,"Reconstruction of Damaged V.R.B. at km 5.540,km. 13.000 and km. 20.800 of Chhobh nala-2, km. 1.000 of siddhour drain and km. 13.700 of Chhobh nala-1","Reconstruction of Damaged V.R.B. at km 5.540,km. 13.000 and km. 20.800 of Chhobh nala-2, km. 1.000 of siddhour drain and km. 13.700 of Chhobh nala-1 in District Raebareli",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,270.0,Raebareli U.P.,229001.0,NA ,NA ,NA ,online,No ,No,Superintending Engineer,Office of Superintending Engineer Drainage Circle Lucknow,1.0,Fee/PreQual/Technical,.pdf,Tender Fee,1.0,SBI Bank,03-Apr-2025 10:00 AM,11-Apr-2025 12:00 PM,03-Apr-2025 10:00 AM,10-Apr-2025 05:00 PM,NA ,NA ,03-Apr-2025 10:00 AM,10-Apr-2025 05:00 PM,15-Apr-2025 02:00 PM,AOC,Technical,Total 02 bid received and all bidders have qualified for Financial Bid Opening,Kumar Viplaw,11-Apr-2025 01:55 PM,technical_1850257.pdf,Kumar Viplaw S.E.,Internal,Vijay Singh E.E. Ashurosh Sarswat E.E.,Kumar Viplaw,15-Apr-2025 03:42 PM,finsummary_1850257.pdf (319.03 KB),Finance,JMD INFRASTRUCTRE is L1,Kumar Viplaw,15-Apr-2025 03:36 PM,finance_1850257.pdf,BOQ Comparative Chart,Kumar Viplaw S.E.,Internal,Vijay Singh E.E. Ashutosh E.E.,Kumar Viplaw,11-Apr-2025 01:57 PM,15-Apr-2025 02:00 PM,techsummary_1850257.pdf (319.89 KB),02-Sep-2025,"INR 27,730,308.3",270.0,Kumar Viplaw,02-Sep-2025 02:03 PM,AOCcopy.pdf (1345.00 KB),M/s J.M.D. Infrastructure Prop. Sri Shailendra Kumar Singh Amawa Road Takiya Chauraha Raebaraili,"U P Irrigation Department (Civil)||Chief Engineer-Externally Aided Project, Lucknow||Drainage Circle, Lucknow",2025_UPIDC_1024471_1,Letter no.344/DCL/eTender/Dt.06.02.25,"Reconstruction of Damaged V.R.B. at km 5.540,km. 13.000 and km. 20.800 of Chhobh nala-2, km. 1.000 of siddhour drain and km. 13.700 of Chhobh nala-1",1.0,5110419.0,JMD INFRASTRUCTRE,INR,"27,730,308.3",1.0,5110419.0,JMD INFRASTRUCTRE,09-Apr-2025 07:36 PM,Accepted-AOC,L1,02-Sep-2025 02:03 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Supporting Doc,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5110439.0,Shivank Enterprises,09-Apr-2025 07:25 PM,Rejected-AOC,L2,02-Sep-2025 02:03 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
