Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
15-Sep-2025,"INR 668,860.09",120.0,Swarna Singh,15-Sep-2025 05:50 PM,72.pdf (311.00 KB),All Formulties Complted,Technical,Technical bid open,Swarna Singh,18-Aug-2025 05:28 PM,,E E RED LALITPUR,Internal,DAO AE LTP,Swarna Singh,22-Aug-2025 09:37 AM,26-Aug-2025 12:30 PM,techsummary_1919224.pdf (159.78 KB),1.0,5398968.0,ANKIT BULDERS/ SURENDRA KUMAR,INR,"668,860.09",EE.RED.LALITPUR,Internal,AE DAO,Swarna Singh,06-Sep-2025 04:16 PM,finsummary_1919224.pdf (293.32 KB),Finance,Summary,Swarna Singh,26-Aug-2025 06:05 PM,,BOQ Comparative Chart,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE LALITPUR,2025_REDUP_1054643_18,422/RED/NIVIDA/2025-26 Date 20.06.2025,Construction work of tin shed at a public place in village Sironkhurd of development block Jakhora,1,5398968,ANKIT BULDERS/ SURENDRA KUMAR,09-Aug-2025 01:43 PM,Accepted-AOC,All Formulties Complted,15-Sep-2025 05:50 PM,AOC,1,Fee/PreQual/Technical,.pdf,Technical bid,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE LALITPUR,422/RED/NIVIDA/2025-26 Date 20.06.2025,2025_REDUP_1054643_18,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,766.0,Nil,Nil,No,1.0,Date,Date,,1.0,SBI Bank,07-Jul-2025 12:00 PM,12-Aug-2025 03:30 PM,07-Jul-2025 12:00 PM,12-Aug-2025 12:30 PM,NA ,NA ,07-Jul-2025 12:00 PM,12-Aug-2025 12:30 PM,26-Aug-2025 12:30 PM,Construction work of tin shed at a public place in village Sironkhurd of development block Jakhora,Construction work of tin shed at a public place in village Sironkhurd of development block Jakhora,Please refer Tender documents. ,NA ,"6,71,000",Civil Works,NA ,Tender,90.0,120.0,LALITPUR,284403.0,NA ,NA ,NA ,EE RED LALITPUR,No ,No,EE RED LALITPUR,EE RED LALITPUR,"13,500",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5398986,M/S DESHPAT CONSTRUCTION,09-Aug-2025 11:48 AM,Rejected-Finance,L-2,06-Sep-2025 04:16 PM,AOC,2,Finance,.xls,Financial bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
