Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,2025_REDUP_1049180_5,366 Date 13-05-2025,Gram Sabha Krishnadattapur me Lallu singh ke ghar ke Pass Pokhara se Prem Narayan Pal ke Ghar tak Interlocking ka karya.,1.0,5348993.0,Durgawati Construction Co,INR,"1,593,590.11",1,5348993,Durgawati Construction Co,18-Jul-2025 07:44 PM,Accepted-AOC,L1,24-Sep-2025 11:57 AM,24-Sep-2025,"INR 1,593,590.11",90.0,SHAILENDRA PRASAD,24-Sep-2025 11:57 AM,1409.pdf (128.00 KB),EE,Internal,,SHAILENDRA PRASAD,23-Jul-2025 07:15 PM,26-Jul-2025 12:00 PM,techsummary_1906704.pdf (672.79 KB),Finance,Admitted,SHAILENDRA PRASAD,26-Jul-2025 01:30 PM,,BOQ Comparative Chart,EE,Internal,,Rajesh Kumar Yadav,01-Aug-2025 12:24 PM,finsummary_1906704.pdf (108.64 KB),Technical,Admitted,SHAILENDRA PRASAD,23-Jul-2025 04:27 PM,,AOC,854.0,Nil,Nil,No,"31,920",Yes,percentage,2.0%,Nil,Nil,Gram Sabha Krishnadattapur me Lallu singh ke ghar ke Pass Pokhara se Prem Narayan Pal ke Ghar tak Interlocking ka karya.,Gram Sabha Krishnadattapur me Lallu singh ke ghar ke Pass Pokhara se Prem Narayan Pal ke Ghar tak Interlocking ka karya.,Please refer Tender documents. ,NA ,"15,96,000",Civil Works,NA ,Tender,90.0,90.0,Vikash Bhavan Varanasi,221002.0,NA ,NA ,NA ,Vikash Bhavan Varanasi,No ,No,EE RED,Vikash Bhavan Varanasi,19-Jun-2025 12:00 PM,19-Jul-2025 12:30 PM,19-Jun-2025 12:00 PM,19-Jul-2025 12:00 PM,NA ,NA ,19-Jun-2025 12:00 PM,19-Jul-2025 12:00 PM,26-Jul-2025 12:00 PM,1,Fee/PreQual/Technical,.pdf,Tender doc,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,366 Date 13-05-2025,2025_REDUP_1049180_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,AOC
,,,,,,,,,2,5348216,M/S V K CONSTRUCTION,17-Jul-2025 12:09 PM,Rejected-Finance,L2,01-Aug-2025 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,,,,,,,,,,,,,,,,,AOC
