Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
EE RED GONDA,Internal,ER J. B. Singh EE ER Virendra Kumar Pathak AE SRI L.K. Chakravarti DAO,VIRENDRA KUMAR PATHAK,04-Sep-2025 10:54 AM,04-Sep-2025 11:00 AM,techsummary_1946595.pdf (261.94 KB),30-Sep-2025,"INR 1,299,603.73",120.0,Jay Bahadur Singh,30-Sep-2025 02:03 PM,15.pdf (379.00 KB),Bond,Technical,Summary,VIRENDRA KUMAR PATHAK,03-Sep-2025 11:02 AM,,Finance,Summary,Jay Bahadur Singh,08-Sep-2025 11:41 AM,,BOQ Comparative Chart,EE RED GONDA,Internal,ER J. B. Singh EE ER Virendra Kumar Pathak AE SRI L.K. Chakravarti DAO,Jay Bahadur Singh,30-Sep-2025 02:00 PM,finsummary_1946595.pdf (378.80 KB),1.0,5505872.0,M/S SRI JAN CONSTRUCTION,INR,"1,299,603.73",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE GONDA,2025_REDUP_1067302_15,450/RED/ENivida/Nir/2025-26 dt 02-08-2025,GramSabha Susangwan ke Kauvapur me Pakki Sadak se Nahar tak 325 m Length me Interlocking Ka Karya,1,5506158,M/S DASMESH ASSOCIATES,30-Aug-2025 12:31 PM,Rejected-Finance,L2,30-Sep-2025 02:00 PM,AOC,21-Aug-2025 06:00 PM,01-Sep-2025 12:30 PM,21-Aug-2025 06:47 AM,01-Sep-2025 12:00 PM,NA ,NA ,21-Aug-2025 06:00 PM,01-Sep-2025 12:00 PM,04-Sep-2025 11:00 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE GONDA,450/RED/ENivida/Nir/2025-26 dt 02-08-2025,2025_REDUP_1067302_15,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,NIT with T1,GramSabha Susangwan ke Kauvapur me Pakki Sadak se Nahar tak 325 m Length me Interlocking Ka Karya,GramSabha Susangwan ke Kauvapur me Pakki Sadak se Nahar tak 325 m Length me Interlocking Ka Karya,GramSabha Susangwan ke Kauvapur me Pakki Sadak se Nahar tak 325 m Length me Interlocking Ka Karya ,NA ,"13,00,774",Civil Works,NA ,Tender,90.0,120.0,EE RED Gonda,271001.0,NA ,NA ,NA ,EE RED Gonda,No ,No,EE RED GONDA,EE RED GONDA Vikas Bhawan Distt Gonda,"26,015",Yes,percentage,2.0%,Nil,Nil,950.0,Nil,Nil,No,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5505872,M/S SRI JAN CONSTRUCTION,29-Aug-2025 01:51 PM,Accepted-AOC,L1,30-Sep-2025 02:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Work BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
