Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
State Urban Development Agency||District Urban Development Agency||Farrukhabad,2025_SUDA_1067393_15,152/DUDA/2025-26,NAGAR PANCHAYAT SANKISA BASANTPUR WARD NO AVANTIBAI NAGAR ME ANIL KE GHAR SE SURJEET KE GHAR TAK NALI AVAM INTERLOCKING SARAK KA NIRMAN KARYA,1,5518401,SUMAN MISHRA,INR,"391,959",1,5518419,MS AMLESH RATHORE,05-Sep-2025 07:56 PM,Accepted-AOC,LOWEST,16-Sep-2025 04:17 PM,16-Sep-2025,"INR 440,404",90.0,Jitendra Singh Yadav,16-Sep-2025 04:17 PM,committee.pdf (1581.00 KB),tender cost,Finance,Technical committee,Jitendra Singh Yadav,11-Sep-2025 05:19 PM,finance_1946896.pdf,BOQ Comparative Chart,ARUN KUMAR SINGH,Internal,Asistant Engineer Project Officer Project Directer,Jitendra Singh Yadav,16-Sep-2025 11:12 AM,finsummary_1946896.pdf (1580.64 KB),ARUN KUMAR SINGH,Internal,ASISTANT ENGINEER PROJECT OFFICER PROJECT DIRECTER,Jitendra Singh Yadav,12-Sep-2025 10:55 AM,techsummary_1946896.pdf (1580.64 KB),AOC,1.0,DD - Demand Draft,22-Aug-2025 01:00 PM,08-Sep-2025 03:00 PM,22-Aug-2025 01:00 PM,06-Sep-2025 01:00 PM,NA ,NA ,22-Aug-2025 01:00 PM,06-Sep-2025 01:00 PM,State Urban Development Agency||District Urban Development Agency||Farrukhabad,152/DUDA/2025-26,2025_SUDA_1067393_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Offline,No,No,No,"8,900",No,fixed,,PROJECT DIRECTOR,DUDA FATEHGARH,NAGAR PANCHAYAT SANKISA BASANTPUR WARD NO AVANTIBAI NAGAR ME ANIL KE GHAR SE SURJEET KE GHAR TAK NALI AVAM INTERLOCKING SARAK KA NIRMAN KARYA,NIRMAN KARYA,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,30.0,30.0,DUDA FATEHGARH,209601.0,NA ,NA ,NA ,DUDA FATEHGARH,No ,No,900.0,PROJECT DIRECTOR,DUDA FATEHGARH,No,PROJECT OFFICER,DUDA FATEHGARH,1.0,Fee/PreQual/Technical/Finance,.pdf,TECHNICAL,AOC
,,,,2,5518419,MS AMLESH RATHORE,INR,"329,906",2,5518580,M/S SMT MADHURI MISHRA,05-Sep-2025 11:43 PM,Accepted-AOC,LOWEST,16-Sep-2025 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,FINANCIAL,AOC
,,,,3,5518580,M/S SMT MADHURI MISHRA,INR,"361,571",3,5518401,SUMAN MISHRA,05-Sep-2025 07:40 PM,Accepted-AOC,HIGHER,16-Sep-2025 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
