Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,132/EE/RED/Tender/2025-26 Dated 17.04.2025,2025_REDUP_1046821_15,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE RED Jhansi,EE RED Jhansi,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,SBD,Block bamaur ke gram bamaur main Samudayik Swachalay se samsanghat ki aur CC Road va nali nirman karya.,Block bamaur ke gram bamaur main Samudayik Swachalay se samsanghat ki aur CC Road va nali nirman karya.,Please refer Tender documents. ,NA ,"32,51,000",Civil Works,NA ,Tender,90.0,120.0,Block bamaur ke gram bamaur main Samudayik Swachal,284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,09-Jun-2025 09:00 AM,25-Jul-2025 03:30 PM,09-Jun-2025 09:00 AM,25-Jul-2025 12:00 PM,NA ,NA ,09-Jun-2025 09:00 AM,25-Jul-2025 12:00 PM,04-Aug-2025 12:30 PM,"1,63,000",Yes,fixed,,Nil,Nil,1.0,date5,Date,,"2,354",Nil,Nil,No,AOC,1.0,5314240.0,M/S GIRI CONSTRUCTION,INR,"3,230,059",Finance,final,RAJNEESH KUMAR,03-Sep-2025 12:45 PM,finance_1901492.pdf,BOQ Comparative Chart,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,03-Sep-2025 12:48 PM,finsummary_1901492.pdf (368.58 KB),1,5357423,LUCKY ENTERPRISES,25-Jul-2025 07:37 AM,Rejected-Finance,N,03-Sep-2025 12:48 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2025_REDUP_1046821_15,132/EE/RED/Tender/2025-26 Dated 17.04.2025,Block bamaur ke gram bamaur main Samudayik Swachalay se samsanghat ki aur CC Road va nali nirman karya.,03-Sep-2025,"INR 3,230,059",120.0,RAJNEESH KUMAR,03-Sep-2025 12:49 PM,bamaur_samudayik.pdf (369.00 KB),FINAL,Technical,final,RAJNEESH KUMAR,31-Jul-2025 02:00 PM,technical_1901492.pdf,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,31-Jul-2025 02:03 PM,04-Aug-2025 12:30 PM,techsummary_1901492.pdf (556.76 KB),AOC
,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5314240,M/S GIRI CONSTRUCTION,15-Jul-2025 07:56 AM,Accepted-AOC,Y,03-Sep-2025 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
