S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,5371330.0,MR. MANOJ KUMAR SINGH,24-Jul-2025 02:28 PM,Rejected-AOC,Rejected due to higher rate e-tender.,26-Sep-2025 01:15 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE,2025_REDUP_1059123_1,271/RED/Cir Aza/Tender/25-26/dt 14.07.2025-1,"Construction of CC Road from Tubel of Narsingh to till the place of Kali Mai via Yadav Basti, Gram Sabha- Amethi Pitch Road. (Length- 650 M)",1.0,5371182.0,M/s Vijay Enterprises,INR,"3,643,292.36",25-Sep-2025,"INR 3,643,292.36",180.0,kunvar surendra pratap,26-Sep-2025 01:15 PM,aoc.pdf (408.00 KB),Being L1 the Contract Awarded to M/s Vijay Enterprises,Superintending Engineer RED,Internal,EE RED Azamgarh EE RED Ballia DAO Azamgarh,kunvar surendra pratap,24-Sep-2025 04:40 PM,finsummary_1928155.pdf (1781.91 KB),Technical,In Technical Opening 02 Bids were received.,kunvar surendra pratap,30-Jul-2025 01:41 PM,technical_1928155.pdf,Superintending Engineer RED Aza,Internal,JET RED Azamgarh DAO RED Azamgarh EE RED Azamgarh EE RED Ballia.,kunvar surendra pratap,11-Aug-2025 03:15 PM,20-Aug-2025 12:30 PM,techsummary_1928155.pdf (465.22 KB),Finance,In Financial Opening of Tender 02 Bids were received. The Financial Bid of M/s Vijay Enterprises is found Lowest Bid. His Quoted Amount is Rs- 3643292.36,kunvar surendra pratap,20-Aug-2025 03:11 PM,finance_1928155.pdf,BOQ Comparative Chart,AOC,23-Jul-2025 10:00 AM,30-Jul-2025 12:30 PM,23-Jul-2025 10:30 AM,30-Jul-2025 12:00 PM,23-Jul-2025 10:00 AM ,30-Jul-2025 11:00 AM ,23-Jul-2025 11:00 AM,30-Jul-2025 12:00 PM,20-Aug-2025 12:30 PM,"3,082",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Fee and EMD,"Construction of CC Road from Tubel of Narsingh to till the place of Kali Mai via Yadav Basti, Gram Sabha- Amethi Pitch Road. (Length- 650 M)","Construction of CC Road from Tubel of Narsingh to till the place of Kali Mai via Yadav Basti, Gram Sabha- Amethi Pitch Road. (Length- 650 M)",Please Refer tender documents. ,Yes ,"36,75,000",Civil Works - Roads,CC Road ,Tender,90.0,180.0,Azamgarh,276001.0,"SE, RED, Circle-Azamgarh. ","OFFICE OF THE SUPERINTENDING ENGINEER, RURAL ENGINEERING DEPARTMENT, CIRCLE-AZAMGARH. Address- 2nd FLOOR, MANDALEEY VIKAS BHAWAN, SIDHARI-AZAMGARH, PINCODE-276001 ",25-Jul-2025 12:30 PM ,"SE, RED, Circle-Azamgarh.",No ,No,"SE, RED, Circle-Azamgarh.","OFFICE OF THE SUPERINTENDING ENGINEER, RURAL ENGINEERING DEPARTMENT, CIRCLE-AZAMGARH. Address- 2nd FLOOR, MANDALEEY VIKAS BHAWAN, SIDHARI-AZAMGARH, PINCODE-276001",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE,271/RED/Cir Aza/Tender/25-26/dt 14.07.2025-1,2025_REDUP_1059123_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"73,500",No,fixed,,Nil,Nil,AOC
2.0,5371182.0,M/s Vijay Enterprises,24-Jul-2025 01:47 PM,Accepted-AOC,Being Lowest Bid or e-tender.,26-Sep-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Technical Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Section-6 Technical Financial Part-II of Bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
