S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"509/RED/E-Tender(13)/2025-26, Dt. 05.08.2025",2025_REDUP_1069382_2,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,29-Aug-2025 12:00 AM,06-Sep-2025 12:30 PM,29-Aug-2025 12:00 PM,06-Sep-2025 12:00 PM,NA ,NA ,29-Aug-2025 12:00 PM,06-Sep-2025 12:00 PM,25-May-2026 11:46 AM,"17,400",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Technical bid document,Executive Engineer,"Office of the Executive Engineer, R.E.D. Bahraich",Nagar Panchayat Nanpara Dehati me Madhavram Verma ke makan se Om Prakash ke makan se hote huye Rakesh Vishvakarma ke makan tak Galla Mandi ke peeche interlocking nirman karya_02,Nagar Panchayat Nanpara Dehati me Madhavram Verma ke makan se Om Prakash ke makan se hote huye Rakesh Vishvakarma ke makan tak Galla Mandi ke peeche interlocking nirman karya_02,Please refer Tender documents. ,NA ,"8,67,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,"Office of the Executive Engineer, R.E.D. Bahraich ","Office of the Executive Engineer, R.E.D. Bahraich ",29-Aug-2025 12:30 PM ,"Office of the Executive Engineer, R.E.D. Bahraich",No ,No,788.0,Nil,Nil,No,AOC,Technical,Technical bid open,Sujit Kumar Sinha,06-Sep-2025 01:19 PM,technical_1951163.pdf,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,09-Sep-2025 01:19 PM,finsummary_1951163.pdf (73.93 KB),Finance,Financial bid open,Sujit Kumar Sinha,09-Sep-2025 12:54 PM,finance_1951163.pdf,BOQ Comparative Chart,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,08-Sep-2025 04:02 PM,09-Sep-2025 12:00 PM,techsummary_1951163.pdf (401.24 KB),10-Sep-2025,"INR 1,021,971.33",180.0,Sujit Kumar Sinha,10-Sep-2025 05:09 PM,002.pdf (96.00 KB),1,5517155,M/s Vaishnavi Construction,04-Sep-2025 05:53 PM,Rejected-Finance,High,09-Sep-2025 01:19 PM,1.0,5512702.0,RAJ ENTERPRISES,INR,"1,019,817.81",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2025_REDUP_1069382_2,"509/RED/E-Tender(13)/2025-26, Dt. 05.08.2025",Nagar Panchayat Nanpara Dehati me Madhavram Verma ke makan se Om Prakash ke makan se hote huye Rakesh Vishvakarma ke makan tak Galla Mandi ke peeche interlocking nirman karya_02,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5512702,RAJ ENTERPRISES,03-Sep-2025 08:23 PM,Accepted-AOC,AOC,10-Sep-2025 05:09 PM,,,,,,,,,,AOC
