S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,5417867.0,RAMJI CONSTRUCTION,11-Aug-2025 01:41 PM,Accepted-AOC,LOWEST RATE FOUND,23-Sep-2025 04:39 PM,1.0,5417867.0,RAMJI CONSTRUCTION,INR,"1,591,688.76",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE MAU,2025_REDUP_1063271_1,631dt08.07.2025,Vikas Khand Ranipur Gram Sabha Mirzapur Allipur Me Heera Yadav ke Ghar se Prathmik Pathshala Alipur Tak Interlocking Karya.,20-Sep-2025,"INR 1,591,688.76",90.0,ARUN KUMAR VERMA,23-Sep-2025 04:39 PM,MirzapurallipurAOC.pdf (89.00 KB),M/s Ramji Construction FINANCIAL BID RATE FOUND LOWEST AND BELOW THE RATE OF DIPARTMENTAL RATE HANCE A.O.C.GENERATED IN THE NAME OF M/s Ramji Construction,EE RED MAU,Internal,"E.E.A.K.Verma,D.A.O.Kunwar Raghavendra Singh,AE Jai Prakash Singh",ARUN KUMAR VERMA,26-Aug-2025 05:59 PM,27-Aug-2025 01:30 PM,techsummary_1937780.pdf (362.97 KB),Finance,Two financial Bid found,ARUN KUMAR VERMA,27-Aug-2025 02:21 PM,finance_1937780.pdf,BOQ Comparative Chart,EE RED MAU,Internal,"E.E.A.K.Verma,D.A.O.Kunwar Raghavendra Singh,AE Jai Prakash Singh",ARUN KUMAR VERMA,09-May-2026 11:50 AM,finsummary_1937780.pdf (362.97 KB),Technical,Two Technical Bid found,ARUN KUMAR VERMA,26-Aug-2025 05:55 PM,technical_1937780.pdf,AOC,Vikas Khand Ranipur Gram Sabha Mirzapur Allipur Me Heera Yadav ke Ghar se Prathmik Pathshala Alipur Tak Interlocking Karya.,Vikas Khand Ranipur Gram Sabha Mirzapur Allipur Me Heera Yadav ke Ghar se Prathmik Pathshala Alipur Tak Interlocking Karya.,Please refer Tender documents. ,NA ,"18,85,000",Civil Works,NA ,Tender,90.0,90.0,MAU,275101.0,NA ,NA ,NA ,Ex.Ex.R.E.D. Vikas Bhawan Mau,No ,No,"38,000",No,fixed,,Nil,Nil,1.0,SBI Bank,06-Aug-2026 11:50 AM,12-Aug-2025 01:30 PM,06-Aug-2025 10:00 AM,12-Aug-2025 12:00 PM,NA ,NA ,06-Aug-2025 10:00 AM,12-Aug-2025 12:00 PM,27-Aug-2025 01:30 PM,1.0,Fee/PreQual/Technical,.pdf,Payment Certificate,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE MAU,631dt08.07.2025,2025_REDUP_1063271_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Ex.Ex.R.E.D. Vikas Bhawan Mau,Ex.Ex.R.E.D. Vikas Bhawan Mau,"1,104",Nil,Nil,No,AOC
2.0,5418019.0,VIRENDRA KUMAR YADAV,12-Aug-2025 10:06 AM,Rejected-AOC,SECOND LOWEST RATE FOUND,23-Sep-2025 04:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Document,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
