Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
11-Sep-2025,"INR 1,445,749",90.0,BHOOPENDRA PRATAP SINGH,15-Sep-2025 06:13 PM,MARORI.pdf (491.00 KB),Agreement Cost For Construction With GST,1.0,5500112.0,M/S SUSHIL KUMAR CONTRACTOR,INR,"1,225,210.73",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE||EE BADAUN,2025_REDUP_1061067_2,575/RED/e-Tender/2025-26 Date 21.07.2025,Baratghar construction work in Majra Mathana of Gram Panchayat Marauri (Mion),1,5500112,M/S SUSHIL KUMAR CONTRACTOR,26-Aug-2025 10:20 PM,Accepted-AOC,Due To Lower Rate,15-Sep-2025 06:13 PM,Technical,Technical Bid Open,SureshChandra Singh,30-Aug-2025 11:25 AM,,Executive Engineer,Internal,AE and DAO,SureshChandra Singh,09-Sep-2025 05:55 PM,finsummary_1933039.pdf (212.29 KB),Finance,Financial Bid Opened,BHOOPENDRA PRATAP SINGH,08-Sep-2025 12:33 PM,,BOQ Comparative Chart,Executive Engineer,Internal,AE and DAO,SureshChandra Singh,04-Sep-2025 11:56 AM,08-Sep-2025 12:00 PM,techsummary_1933039.pdf (404.53 KB),AOC,766.0,Nil,Nil,No,1.0,SBI Bank,30-Jul-2025 12:00 PM,29-Aug-2025 04:00 PM,30-Jul-2025 12:00 PM,29-Aug-2025 12:00 PM,NA ,NA ,30-Jul-2025 12:00 PM,29-Aug-2025 12:00 PM,08-Sep-2025 12:00 PM,"Executive Engineer, RED, Division Badaun","Office of Executive Engineer, Rural Engineering Department, Division Badaun, Room No. 226, First Floor, Vikas Bhawan, Badaun 243601",1,Fee/PreQual/Technical,.pdf,Technical,Baratghar construction work in Majra Mathana of Gram Panchayat Marauri (Mion),Baratghar construction work in Majra Mathana of Gram Panchayat Marauri (Mion),Please Refer To Tender ,NA ,"12,31,120",Civil Works,NA ,Tender,90.0,90.0,Badaun,243601.0,NA ,NA ,NA ,"RED, Badaun",No ,No,"25,000",Yes,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE||EE BADAUN,575/RED/e-Tender/2025-26 Date 21.07.2025,2025_REDUP_1061067_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,5500192,RISHI VISHWAKARMA CONSTRUCTION (R.V. CONSTRUCTION),26-Aug-2025 11:09 PM,Rejected-Finance,Due To Higher Rate,09-Sep-2025 05:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
