Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Annual M and R of Shaktipuram hydel staff colony Lucknow,Annual M and R of Shaktipuram hydel staff colony Lucknow,NA ,NA ,"2,15,123",Civil Works,NA ,Tender,120.0,365.0,LUCKNOW,226024.0,NA ,NA ,NA ,"EE, ECCD-1 ALIGANJ LKO",No ,No,EE,"EE, ECCD-1 ALIGANJ LKO","5,500",No,fixed,,"EE, ECCD-1 ALIGANJ",Lucknow,1.0,Date Corri,Date,,Uttar Pradesh Power Corporation Ltd.||SE Civil HQ Shakti Bhawan Extension||EE Civil HQ Attached to CE Civil 2||SE Civil HQ||EE ECCD Ist,46/ECCD-1/2024-25,2025_UPPCL_1015661_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,590.0,"EE, ECCD-1 ALIGANJ",Lucknow,No,1.0,Fee/PreQual/Technical,.pdf,TENDER FEE AND EMD,1.0,RTGS - RTGS Payment,10-Jul-2025 02:00 PM,30-Jul-2025 03:30 PM,10-Jul-2025 02:00 PM,29-Jul-2025 05:00 PM,NA ,NA ,10-Jul-2025 02:00 PM,29-Jul-2025 05:00 PM,05-Aug-2025 03:15 PM,AOC,SE,Internal,EE,Arpit Srivastava,12-Sep-2025 12:34 PM,finsummary_1921481.pdf (534.82 KB),Technical,Technical Summary,Arpit Srivastava,30-Jul-2025 04:03 PM,technical_1921481.pdf,SE,Internal,EE,Arpit Srivastava,05-Aug-2025 03:14 PM,05-Aug-2025 03:15 PM,techsummary_1921481.pdf (474.69 KB),Finance,Financial Summary,Krishna Kumar,05-Aug-2025 03:29 PM,finance_1921481.pdf,BOQ Comparative Chart,1.0,5386353.0,M/S RAKESH ASSOCIATES,29-Jul-2025 12:45 AM,Accepted-AOC,As Per Lowest Value,12-Sep-2025 01:25 PM,Uttar Pradesh Power Corporation Ltd.||SE Civil HQ Shakti Bhawan Extension||EE Civil HQ Attached to CE Civil 2||SE Civil HQ||EE ECCD Ist,2025_UPPCL_1015661_3,46/ECCD-1/2024-25,Annual M and R of Shaktipuram hydel staff colony Lucknow,1.0,5386353.0,M/S RAKESH ASSOCIATES,INR,"198,666.09",12-Sep-2025,"INR 215,123",365.0,Arpit Srivastava,12-Sep-2025 01:25 PM,loi46.pdf (304.00 KB),As Per LOI,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PREQUAL DOCS,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5387494.0,RAKESH KUMAR TIWARI,29-Jul-2025 12:21 PM,Rejected-AOC,As Per Higher value,25-May-2026 11:31 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
