Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Mathura,2025_SCIDC_1062466_1,10/MLC/Mathura/25-26,"IS/I/T/C LED Street Light ON EXISTING POLE, UNDER MLA-LAD in village- Jarara Block-Mant ,Mathura",1.0,5409344.0,M/s Neha Enterprises,INR,"126,176.53",1,5409690,Jagvir Construction and Supplier,07-Aug-2025 03:57 PM,Rejected-Finance,Bid has been rejected as per application given by related firm.,04-Sep-2025 01:19 PM,04-Sep-2025,"INR 126,176.53",180.0,Sanjai Gangwar,04-Sep-2025 01:39 PM,10mtr.pdf (425.00 KB),Executive Engineer,Internal,,Sanjai Gangwar,04-Sep-2025 01:19 PM,finsummary_1935912.pdf (425.28 KB),Technical,All bids are ok,Sanjai Gangwar,14-Aug-2025 01:05 PM,technical_1935912.pdf,Shri Sanjay Gangwar,Internal,,Sanjai Gangwar,14-Aug-2025 04:13 PM,14-Aug-2025 04:15 PM,techsummary_1935912.pdf (192.24 KB),Finance,Rate of M/s Neha Enterprises is accepted.,Sanjai Gangwar,04-Sep-2025 12:32 PM,finance_1935912.pdf,BOQ Comparative Chart,AOC,"IS/I/T/C LED Street Light ON EXISTING POLE, UNDER MLA-LAD in village- Jarara Block-Mant ,Mathura","IS/I/T/C LED Street Light ON EXISTING POLE, UNDER MLA-LAD in village- Jarara Block-Mant ,Mathura",Please refer Tender documents. ,NA ,"1,26,000",Civil Works,NA ,Tender,180.0,180.0,SIKANDRA,282007.0,NA ,NA ,NA ,"H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikand",No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Mathura,10/MLC/Mathura/25-26,2025_SCIDC_1062466_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,531.0,UPSCIDC,Mathura,No,02-Aug-2025 04:00 PM,08-Aug-2025 01:00 PM,02-Aug-2025 04:00 PM,08-Aug-2025 12:00 PM,NA ,NA ,02-Aug-2025 04:00 PM,08-Aug-2025 12:00 PM,14-Aug-2025 04:15 PM,"3,000",No,fixed,,UPSCIDC,Mathura,Executive Engineer,"EX.EN. OFFICE 10, CIVIL LINE Mathura",1.0,RTGS - RTGS Payment,1.0,Fee/PreQual/Technical,.pdf,NIT,AOC
,,,,,,,,,2,5409344,M/s Neha Enterprises,07-Aug-2025 02:06 PM,Accepted-AOC,OK,04-Sep-2025 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,3,5409857,TARUN ENTERPRISES,07-Aug-2025 05:03 PM,Rejected-AOC,OK,04-Sep-2025 01:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
