Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"EE RED ,Vikas Bhawan, Sultanpur","EE RED ,Vikas Bhawan, Sultanpur",1.0,SBI Bank,"24,000",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE,754/EE RED SULTANPUR/25-26 Dt 16/06/2025,2025_REDUP_1051756_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,766.0,Nil,Nil,No,"Under District Sultanpur, Construction of Road connecting Isauli Baldirai road to Ganapur Nandauli Durgapur road, Lot No 1","Under District Sultanpur, Construction of Road connecting Isauli Baldirai road to Ganapur Nandauli Durgapur road, Lot No 1",Please refer Tender documents. ,NA ,"11,74,000",Civil Works,NA ,Tender,90.0,120.0,Sultanpur,228001.0,"EE RED ,Vikas Bhawan, Sultanpur ","EE RED ,Vikas Bhawan, Sultanpur  ",02-Jul-2025 11:00 AM ,"EE RED ,Vikas Bhawan, Sultanpur",No ,No,24-Jun-2025 06:00 PM,07-Jul-2025 12:30 PM,24-Jun-2025 06:00 PM,07-Jul-2025 12:00 PM,NA ,NA ,24-Jun-2025 11:58 AM,07-Jul-2025 12:00 PM,21-Jul-2025 12:00 PM,1,Fee/PreQual/Technical,.pdf,Fees and Technical Documents,AOC,Er K K Mishra EE RED Sultanpur,Internal,,KrishnaKumar Mishra,29-Sep-2025 03:46 PM,finsummary_1911821.pdf (5841.58 KB),Technical,Summary,KrishnaKumar Mishra,11-Jul-2025 07:26 PM,,Er K K Mishra EE RED Sultanpur,Internal,Er K K Mishra EE RED Sultanpur,KrishnaKumar Mishra,15-Jul-2025 09:06 PM,21-Jul-2025 12:00 PM,techsummary_1911821.pdf (2483.10 KB),Finance,Summary,KrishnaKumar Mishra,25-Jul-2025 04:35 PM,,BOQ Comparative Chart,1,5293290,AJAY KUMAR,06-Jul-2025 08:52 PM,Rejected-Finance,Rejected,29-Sep-2025 03:46 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE,2025_REDUP_1051756_1,754/EE RED SULTANPUR/25-26 Dt 16/06/2025,"Under District Sultanpur, Construction of Road connecting Isauli Baldirai road to Ganapur Nandauli Durgapur road, Lot No 1",1.0,5292156.0,Shakir Abbas,INR,"1,139,387",29-Sep-2025,"INR 1,139,387",120.0,KrishnaKumar Mishra,29-Sep-2025 03:57 PM,754_1.pdf (5842.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5292156,Shakir Abbas,07-Jul-2025 09:26 AM,Accepted-AOC,AoC,29-Sep-2025 03:57 PM,,,,,,,,,,,,,,,,AOC
