Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",915.0,Nil,Nil,No,GM P,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,1.0,SBI Bank,"64,900",No,fixed,,Nil,Nil,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/1065 DT-09/05/2025,2025_YEIDA_1038978_6,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,14-May-2025 06:55 PM,27-May-2025 11:00 AM,14-May-2025 06:55 PM,23-May-2025 05:00 PM,NA ,NA ,14-May-2025 06:55 PM,23-May-2025 05:00 PM,18-Jul-2025 11:00 AM,Construction of E-library room in village Karol bangar YEA. WC-06,Construction of E-library room in village Karol bangar YEA. WC-06,Please refer Tender documents. ,NA ,"32,42,524",Civil Works,NA ,Tender,90.0,120.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,YEIDA 2nd FLOOR TENDER CELL,No ,No,AOC,Technical,EVALUATION,NITENDRA KUMAR ADARSH,17-Jul-2025 10:50 AM,,Committee,Internal,Committee,BHARAM PAL SINGH,06-Aug-2025 04:30 PM,finsummary_1884049.pdf (438.00 KB),Finance,UNDER EVALUATION,BHARAM PAL SINGH,06-Aug-2025 04:26 PM,,BOQ Comparative Chart,Committee,Internal,Committee,NITENDRA KUMAR ADARSH,17-Jul-2025 05:01 PM,18-Jul-2025 11:00 AM,techsummary_1884049.pdf (1135.81 KB),18-Sep-2025,"INR 2,947,454.69",120.0,BHARAM PAL SINGH,18-Sep-2025 02:44 PM,AOC1065_6.pdf (1024.00 KB),AOC,Yamuna Expressway Industrial Development Authority,2025_YEIDA_1038978_6,YEA/GM(PROJECT)/2025/1065 DT-09/05/2025,Construction of E-library room in village Karol bangar YEA. WC-06,1.0,5209245.0,krishna Enterprises,INR,"2,947,454.69",1,5208054,JDA International,23-May-2025 12:33 PM,Rejected-Finance,L2,06-Aug-2025 04:30 PM,AOC
,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5209131,KP CONST. CO.,23-May-2025 02:08 PM,Rejected-Technical,DISQUALIFIED,17-Jul-2025 05:01 PM,AOC
,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5209245,krishna Enterprises,23-May-2025 01:28 PM,Accepted-AOC,L1,18-Sep-2025 02:44 PM,AOC
,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5210005,M/S HANUMAT BUILDERS,23-May-2025 12:17 PM,Rejected-Finance,L3,06-Aug-2025 04:30 PM,AOC
2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5207943,M/S MAA VAISHNO CONSTRUCTION,23-May-2025 04:02 PM,Rejected-Technical,DISQUALIFIED,17-Jul-2025 05:01 PM,AOC
