Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Tender Stage
22-Sep-2025,"INR 8,094,000",180.0,Vimal Chandra Chaudhary,22-Sep-2025 06:53 PM,AOC04.pdf (1788.00 KB),Acceptance,1.0,5324929.0,M/S RAJARAM,14-Jul-2025 10:15 AM,Accepted-AOC,AOC,22-Sep-2025 06:53 PM,1.0,5324929.0,M/S RAJARAM,INR,"7,191,491",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell) - Jhansi,2025_UPIDM_1052798_1,03/TWCJ/SE/2025-26,"Repairing of Flag Stone lining of Badagaon Main Canal Reach 0.50 km to 2nd VRB Length 370 Mtr at Badagaon Pump Canal, Jhansi",Technical,All Bids are Admitted,Vimal Chandra Chaudhary,14-Jul-2025 04:19 PM,technical_1914356.pdf,SE VIMAL CHANDRA CHAUDHARY,Internal,SE VIMAL CHANDRA CHAUDHARY EE JAGANNATH PRASAD EE VIKRAM SINGH,Vimal Chandra Chaudhary,22-Sep-2025 06:48 PM,finsummary_1914356.pdf (196.58 KB),Finance,Financial Evaluation Complete,Vimal Chandra Chaudhary,22-Sep-2025 06:44 PM,finance_1914356.pdf,BOQ Comparative Chart,SE Vimal Chandra Chaudhary,Internal,SE Vimal Chandra Chaudhary EE Jagannath Prasad EE Vikram Singh,Vimal Chandra Chaudhary,16-Jul-2025 03:13 PM,16-Jul-2025 03:30 PM,techsummary_1914356.pdf (412.83 KB),AOC,"Superintending Engineer, Tubewell Circle Jhansi","Office of The Superintending Engineer, Tubewell Circle, Gwalior Road Civil Lines, Jhansi","2,354",Nil,Nil,No,"1,62,000",No,fixed,,Nil,Nil,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell) - Jhansi,03/TWCJ/SE/2025-26,2025_UPIDM_1052798_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,04-Jul-2025 10:00 AM,14-Jul-2025 02:00 PM,04-Jul-2025 10:00 AM,14-Jul-2025 12:00 PM,NA ,NA ,04-Jul-2025 10:00 AM,14-Jul-2025 12:00 PM,16-Jul-2025 03:30 PM,"Repairing of Flag Stone lining of Badagaon Main Canal Reach 0.50 km to 2nd VRB Length 370 Mtr at Badagaon Pump Canal, Jhansi","Repairing of Flag Stone lining of Badagaon Main Canal Reach 0.50 km to 2nd VRB Length 370 Mtr at Badagaon Pump Canal, Jhansi",Please refer Tender documents. ,NA ,"80,94,000",Civil Works,NA ,Tender,90.0,180.0,Badagaon Jhansi,284121.0,NA ,NA ,NA ,Jhansi,No ,No,1.0,SBI Bank,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,AOC
,,,,,,,2.0,5325216.0,M/s Sanika Construction,14-Jul-2025 10:41 AM,Rejected-Finance,Not Being Lowest,22-Sep-2025 06:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,2.0,Finance,.xls,Finance,AOC
,,,,,,,3.0,5325142.0,TIRUPATI CONTRACTORS AND SUPPLIERS,14-Jul-2025 10:27 AM,Rejected-Finance,Not Being Lowest,22-Sep-2025 06:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Misc. document ,Any other document ,Any other document ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Tax related documents ,PAN card ,PAN card ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,AOC
