Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,877/EE/RED/2025-26/18-08-2025,2025_REDUP_1066678_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,EE RED DIV Ballia,EE RED DIV Ballia,Lot18 Gram kurem ke chauraha par vidyut hight mast street light ki isthapna,Lot18 Gram kurem ke chauraha par vidyut hight mast street light ki isthapna,Please refer Tender documents. ,NA ,"2,29,000",Civil Works,NA ,Tender,90.0,90.0,ballia,277001.0,EE RED DIV Ballia ,EE RED DIV Ballia ,27-Aug-2025 09:00 AM ,EE RED DIV Ballia,No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Tender FEE EMD,"5,000",Yes,fixed,,Nil,Nil,27-Aug-2025 09:00 AM,02-Sep-2025 12:30 PM,27-Aug-2025 09:00 AM,02-Sep-2025 12:00 PM,NA ,NA ,27-Aug-2025 09:00 AM,02-Sep-2025 12:00 PM,20-Sep-2025 02:00 PM,679.0,Nil,Nil,No,AOC,EE,Internal,aedao,Ratnesh Kumar Gond,20-Sep-2025 12:46 PM,20-Sep-2025 02:00 PM,techsummary_1944983.pdf (96.94 KB),Finance,2 bid admitted,Ratnesh Kumar Gond,20-Sep-2025 06:19 PM,finance_1944983.pdf,BOQ Comparative Chart,EE,Internal,aedao,Ratnesh Kumar Gond,26-Sep-2025 02:24 PM,finsummary_1944983.pdf (96.44 KB),Technical,2 bid admitted,Ratnesh Kumar Gond,03-Sep-2025 05:07 PM,technical_1944983.pdf,1.0,5512372.0,SRI ABHAY NARAYAN YADAV,INR,"220,203.29",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,2025_REDUP_1066678_1,877/EE/RED/2025-26/18-08-2025,Lot18 Gram kurem ke chauraha par vidyut hight mast street light ki isthapna,1.0,5512938.0,DIWAN YADAV,01-Sep-2025 11:30 PM,Rejected-Finance,second lowest,26-Sep-2025 02:24 PM,26-Sep-2025,"INR 220,203.29",90.0,Ratnesh Kumar Gond,26-Sep-2025 02:27 PM,18fev.pdf (101.00 KB),aoc,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,other tecnocal documnet,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5512372.0,SRI ABHAY NARAYAN YADAV,01-Sep-2025 05:13 PM,Accepted-AOC,aoc,26-Sep-2025 02:27 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ for rate,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
