Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
EE RED,Internal,"AE RED, DAO RED",Satish Chand Raghvendram,20-Aug-2025 10:31 AM,25-Aug-2025 12:00 PM,techsummary_1918954.pdf (241.11 KB),12-Sep-2025,"INR 14,350,388",120.0,Satish Chand Raghvendram,12-Sep-2025 01:36 PM,daulatpur.pdf (315.00 KB),DAULATPUR,Technical,summary,Uday Pratap,04-Aug-2025 01:10 PM,,Finance,SUMMARY,Satish Chand Raghvendram,12-Sep-2025 01:24 PM,,BOQ Comparative Chart,EE RED,Internal,AE RED DAO RED SPN,Satish Chand Raghvendram,12-Sep-2025 01:32 PM,finsummary_1918954.pdf (314.95 KB),1.0,5321428.0,ABHISHEK CONTRACTORS,INR,"1,144,396.91",1,5321428,ABHISHEK CONTRACTORS,13-Jul-2025 02:49 PM,Accepted-AOC,L1,12-Sep-2025 01:36 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE||EE SHAHJAHANPUR,2025_REDUP_1049243_21,413/dt 03.06.2025,daulatpur cc road,AOC,854.0,Nil,Nil,No,1.0,SBI Bank,daulatpur cc road,Construction work of approximately 230.00 mtr CC from ring road to (Surendra Pal) house to tubewell in village Daulatpur,Please refer Tender documents. ,NA ,"13,52,000",Civil Works - Roads,NA ,Tender,90.0,120.0,Shahjahanpur,242001.0,NA ,NA ,NA ,shahjahanpur,No ,No,EE RED,2nd floor vikas bhawan spn,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE||EE SHAHJAHANPUR,413/dt 03.06.2025,2025_REDUP_1049243_21,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"27,100",No,fixed,,Nil,Nil,07-Jul-2025 12:00 PM,04-Aug-2025 12:30 PM,07-Jul-2025 12:00 PM,04-Aug-2025 12:00 PM,NA ,NA ,07-Jul-2025 12:00 PM,04-Aug-2025 12:00 PM,25-Aug-2025 12:00 PM,1,Fee/PreQual/Technical,.pdf,nit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5322097,SHIV CONSTRUCTION,13-Jul-2025 05:03 PM,Rejected-Finance,ATPAR,12-Sep-2025 01:32 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,AOC
