Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Technical bid open,Sujit Kumar Sinha,11-Aug-2025 01:18 PM,technical_1934000.pdf,22-Aug-2025,"INR 185,295.25",90.0,Sujit Kumar Sinha,11-Sep-2025 03:46 PM,15.pdf (96.00 KB),Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,12-Aug-2025 05:51 PM,14-Aug-2025 11:00 AM,techsummary_1934000.pdf (364.53 KB),1,5405293,Rajeev Kumar Verma,06-Aug-2025 12:48 PM,Rejected-Finance,High,14-Aug-2025 04:03 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2025_REDUP_1061436_15,"457/RED/E-Tender(11)/2025-26, Dt. 23.07.2025","Repair and upgradation work of Anganwadi Center Mustafabad-1, Block Jarwal_15",1.0,5409541.0,SOBHARAM,INR,"185,295.25",Finance,Financial bid open,Sujit Kumar Sinha,14-Aug-2025 01:33 PM,finance_1934000.pdf,BOQ Comparative Chart,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,14-Aug-2025 04:03 PM,finsummary_1934000.pdf (72.85 KB),AOC,1,Fee/PreQual/Technical,.pdf,Technical bid document,Executive Engineer,"Office of the Executive Engineer, R.E.D. Bahraich",596.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"457/RED/E-Tender(11)/2025-26, Dt. 23.07.2025",2025_REDUP_1061436_15,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"Repair and upgradation work of Anganwadi Center Mustafabad-1, Block Jarwal_15","Repair and upgradation work of Anganwadi Center Mustafabad-1, Block Jarwal_15",Please refer Tender documents. ,NA ,"1,65,000",Civil Works,NA ,Tender,90.0,90.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Engineer, R.E.D. Bahraich",No ,No,1.0,SBI Bank,01-Aug-2025 12:00 PM,08-Aug-2025 12:30 PM,01-Aug-2025 12:00 PM,08-Aug-2025 12:00 PM,NA ,NA ,01-Aug-2025 12:00 PM,08-Aug-2025 12:00 PM,14-Aug-2025 11:00 AM,"3,300",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,2,5409541,SOBHARAM,07-Aug-2025 08:30 PM,Accepted-AOC,AOC,11-Sep-2025 03:46 PM,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
