Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
State Urban Development Agency||District Urban Development Agency||Farrukhabad,152/DUDA/2025-26,2025_SUDA_1067393_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Offline,No,No,No,1,DD - Demand Draft,1.0,Fee/PreQual/Technical/Finance,.pdf,TECHNICAL,NAGAR PANCHAYAT SHAMSHABAD ME WARD 19 MOHALLA ALEPUR ME MUKESH KE MAKAN SE RAMESH TAK NALI AVAM INTERLOCKING SARAK KA NIRMAN KARYA,NIRMAN KARYA,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,30.0,30.0,DUDA FATEHGARH,209601.0,NA ,NA ,NA ,DUDA FATEHGARH,No ,No,900.0,No,fixed,,PROJECT DIRECTOR,DUDA FATEHGARH,22-Aug-2025 01:00 PM,08-Sep-2025 03:00 PM,22-Aug-2025 01:00 PM,06-Sep-2025 01:00 PM,NA ,NA ,22-Aug-2025 01:00 PM,06-Sep-2025 01:00 PM,600.0,PROJECT DIRECTOR,DUDA FATEHGARH,No,PROJECT OFFICER,DUDA FATEHGARH,AOC,ARUN KUMAR SINGH,Internal,ASISTANT ENGINEER PROJECT OFFICER PROJECT DIRECTER,Jitendra Singh Yadav,12-Sep-2025 10:51 AM,techsummary_1946904.pdf (1580.64 KB),ARUN KUMAR SINGH,Internal,Asistant Engineer Project Officer Project Directer,Jitendra Singh Yadav,16-Sep-2025 10:49 AM,finsummary_1946904.pdf (1580.64 KB),Finance,Technical committee,Jitendra Singh Yadav,11-Sep-2025 05:24 PM,finance_1946904.pdf,BOQ Comparative Chart,16-Sep-2025,"INR 39,898",90.0,Jitendra Singh Yadav,16-Sep-2025 05:19 PM,committee.pdf (1581.00 KB),TENDER COST,1.0,5518697.0,KARTAVYA CONSTRUCTION AND SUPPLIERS,06-Sep-2025 10:38 AM,Accepted-AOC,LOWEST,16-Sep-2025 05:19 PM,1.0,5518697.0,KARTAVYA CONSTRUCTION AND SUPPLIERS,INR,"39,415",State Urban Development Agency||District Urban Development Agency||Farrukhabad,2025_SUDA_1067393_18,152/DUDA/2025-26,NAGAR PANCHAYAT SHAMSHABAD ME WARD 19 MOHALLA ALEPUR ME MUKESH KE MAKAN SE RAMESH TAK NALI AVAM INTERLOCKING SARAK KA NIRMAN KARYA,AOC
,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
