Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Saharanpur,66/EE/SRE/MZN/E-TENDER/2025-26,2025_SCIDC_1073383_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,"Executive Engineer office - H.No.-36 Surya Nagar, Near State Bank Colony, Delhi Road Saharanpur",1.0,RTGS - RTGS Payment,15-Sep-2025 11:00 AM,22-Sep-2025 10:00 AM,15-Sep-2025 11:00 AM,22-Sep-2025 09:00 AM,NA ,NA ,15-Sep-2025 11:00 AM,22-Sep-2025 09:00 AM,23-Sep-2025 03:00 PM,"Under Vidhayak Nidhi Yojna (Smt. Vandana Verma ji, MLA) Construction of C.C. Road and Drain work from Shri Vinod Kashyap house to Mandir at Vill Ghatayan South Block Jansath District- Muzaffarnagar","Under Vidhayak Nidhi Yojna (Smt. Vandana Verma ji, MLA) Construction of C.C. Road and Drain work from Shri Vinod Kashyap house to Mandir at Vill Ghatayan South Block Jansath District- Muzaffarnagar",Please refer Tender documents. ,NA ,"7,30,522",Civil Works,NA ,Tender,90.0,90.0,District Muzaffarnagar,251001.0,NA ,NA ,NA ,Executive Engineer office,No ,No,"15,000",No,fixed,,UPSCIDCO,MUZAFFARNAGAR,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"1,062",UPSCIDCO,MUZAFFARNAGAR,No,AOC,Executive Engineer,Internal,"Vinod Kumar Kardam - Executive Engineer, Arun Kumar - Executive Engineer, Mool Chandra - Assistant Account officer",Vinod Kumar Kardam,25-Sep-2025 01:21 PM,finsummary_1959443.pdf (410.66 KB),Technical,Technical Evaluation Summary,Vinod Kumar Kardam,23-Sep-2025 12:49 PM,technical_1959443.pdf,Executive Engineer,Internal,"Vinod Kumar Kardam - Executive Engineer, Arun Kumar - Executive Engineer, Mool Chandra - Assistant Account officer",Vinod Kumar Kardam,23-Sep-2025 12:51 PM,23-Sep-2025 03:00 PM,techsummary_1959443.pdf (410.67 KB),Finance,Financial Evaluation Summary,Vinod Kumar Kardam,25-Sep-2025 01:18 PM,finance_1959443.pdf,BOQ Comparative Chart,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Saharanpur,2025_SCIDC_1073383_1,66/EE/SRE/MZN/E-TENDER/2025-26,"Under Vidhayak Nidhi Yojna (Smt. Vandana Verma ji, MLA) Construction of C.C. Road and Drain work from Shri Vinod Kashyap house to Mandir at Vill Ghatayan South Block Jansath District- Muzaffarnagar",1.0,5543038.0,M/S SANDEEP KUMAR CONTRACTOR,INR,"730,448",1,5550615,AMRISH KUMAR CONTRACTOR,21-Sep-2025 10:37 PM,Rejected-Finance,Being L1,25-Sep-2025 01:21 PM,02-Oct-2025,"INR 730,448",90.0,Vinod Kumar Kardam,25-Sep-2025 01:25 PM,aoc.pdf (272.00 KB),AWARD OF CONTRACT for Construction of C.C. Road and Drain work from Shri Vinod Kashyap house to Mandir at Vill Ghatayan South Block Jansath District- Muzaffarnagar,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5543038,M/S SANDEEP KUMAR CONTRACTOR,18-Sep-2025 10:26 AM,Accepted-AOC,Being L1,25-Sep-2025 01:25 PM,,,,,,,,AOC
