Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,731/EE/RED/GKP/25-26 date 09-06-25,2025_REDUP_1052437_16,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Vikash Bhawan,"36,480",No,percentage,2.0%,Nil,Nil,30-Jun-2025 09:00 AM,09-Jul-2025 09:00 AM,30-Jun-2025 09:00 AM,08-Jul-2025 12:00 PM,NA ,NA ,30-Jun-2025 09:00 AM,08-Jul-2025 12:00 PM,16-Jul-2025 12:00 PM,1.0,SBI Bank,896.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Technical,Block-Brahmpur Gram Panchayt Nibahi mein Lala Harijan ke Ghar se Pani ki Tanki Tak CC Road Ka Nirman,Block-Brahmpur Gram Panchayt Nibahi mein Lala Harijan ke Ghar se Pani ki Tanki Tak CC Road Ka Nirman,Please refer Tender documents. ,NA ,"18,24,000",Civil Works,NA ,Tender,90.0,90.0,Gorakhpur,273001.0,NA ,NA ,NA ,Vikhash Bhawan,No ,No,AOC,1.0,5287861.0,M/S AWADHESH SINGH,INR,"1,821,807",Finance,Opend,AMIT KUMAR RAJ,19-Jul-2025 11:31 AM,,BOQ Comparative Chart,Executive Engineer,Internal,,Shachindra Singh,19-Jul-2025 03:38 PM,finsummary_1913707.pdf (154.33 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2025_REDUP_1052437_16,731/EE/RED/GKP/25-26 date 09-06-25,Block-Brahmpur Gram Panchayt Nibahi mein Lala Harijan ke Ghar se Pani ki Tanki Tak CC Road Ka Nirman,1,5287861,M/S AWADHESH SINGH,07-Jul-2025 02:59 PM,Accepted-AOC,L1,25-May-2026 11:57 AM,01-Aug-2025,"INR 1,821,807",90.0,Shachindra Singh,12-Sep-2025 02:14 PM,bpdf.pdf (154.00 KB),Technical,Opend,Shachindra Singh,11-Jul-2025 10:17 AM,,Executive Engineer,Internal,,Shachindra Singh,16-Jul-2025 10:17 AM,16-Jul-2025 12:00 PM,techsummary_1913707.pdf (302.33 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5289188,M/S R.K.TRADERS,07-Jul-2025 04:55 PM,Rejected-AOC,L2,12-Sep-2025 02:14 PM,,,,,,,,,,,,,,,,,,,AOC
