S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,FDR - Fixed Deposit,1,Fee/PreQual/Technical,.pdf,NIT,Executive Engineer,"H.No. 1087(2) Malviya road, near Roadways Tiraha, Basti",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,1047 /EE SKN /E-Tender / Vidhayak Nidhi Mehdawal SKN /2025-26 Dated 18 -08-2025,2025_SCIDC_1066420_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"Janpad Santkabir nagar, Supply Installation of Solar Light at Vikas khand Belhar kala me 43 Nos. ( Vidhayak Nidhi Menhdawal)","Janpad Santkabir nagar, Supply Installation of Solar Light at Vikas khand Belhar kala me 43 Nos. ( Vidhayak Nidhi Menhdawal)",As Given in NIT ,NA ,"9,47,821",Civil Works - Others,NA ,Tender,90.0,90.0,Basti,272001.0,"H.No. 1087(2) Malviya road, near Roadways Tiraha,  ","H.No. 1087(2) Malviya road, near Roadways Tiraha, Basti ",22-Aug-2025 12:00 PM ,UPSCIDCO BASTI,No ,No,19-Aug-2025 09:00 AM,25-Aug-2025 02:00 PM,19-Aug-2025 09:00 AM,25-Aug-2025 01:00 PM,19-Aug-2025 09:00 AM ,25-Aug-2025 01:00 PM ,19-Aug-2025 09:00 AM,25-Aug-2025 01:00 PM,01-Sep-2025 04:30 PM,"1,062",UPSCIDCO,Santkabir nagar,No,"19,000",No,fixed,,UPSCIDCO,Santkabir nagar,AOC,Technical,M/s JAI MATA DI VP CONTRACTOR and M/s SHREE RAM MAKERS Found,Ramesh Bahadur Shahi,01-Sep-2025 03:01 PM,technical_1944181.pdf,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,04-Sep-2025 01:56 PM,finsummary_1944181.pdf (536.30 KB),Finance,M/s JAI MATA DI VP CONTRACTOR Found L1,Ramesh Bahadur Shahi,04-Sep-2025 01:54 PM,finance_1944181.pdf,BOQ Comparative Chart,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,01-Sep-2025 03:03 PM,01-Sep-2025 04:30 PM,techsummary_1944181.pdf (397.13 KB),04-Sep-2025,"INR 947,157",90.0,Ramesh Bahadur Shahi,04-Sep-2025 03:24 PM,BelharkalaLOI.pdf (877.00 KB),M/s Jai Mata DI VO Contractor Found L1,1,5478743,JAI MATA DI VP CONTRACTOR,23-Aug-2025 06:12 PM,Accepted-AOC,L1,04-Sep-2025 03:24 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2025_SCIDC_1066420_1,1047 /EE SKN /E-Tender / Vidhayak Nidhi Mehdawal SKN /2025-26 Dated 18 -08-2025,"Janpad Santkabir nagar, Supply Installation of Solar Light at Vikas khand Belhar kala me 43 Nos. ( Vidhayak Nidhi Menhdawal)",1.0,5478743.0,JAI MATA DI VP CONTRACTOR,INR,"947,157",AOC
2,RTGS - RTGS Payment,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5479640,SHREE RAM MAKERS,23-Aug-2025 07:59 PM,Rejected-Finance,L2,04-Sep-2025 01:56 PM,,,,,,,,,,AOC
