Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,243 Date 26-04-2025,2025_REDUP_1046714_29,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Gram Sabha Newada Me Sree Ashok Gupta Ki Dukan se Shree Rajendra Maurya ke Ghar ke Aage Antim Bhag Tak Interlocking ka karya.,Gram Sabha Newada Me Sree Ashok Gupta Ki Dukan se Shree Rajendra Maurya ke Ghar ke Aage Antim Bhag Tak Interlocking ka karya.,Please refer Tender documents. ,NA ,"9,76,000",Civil Works,NA ,Tender,90.0,90.0,Vikash Bhavan Varanasi,221002.0,NA ,NA ,NA ,Vikash Bhavan Varanasi,No ,No,1.0,SBI Bank,"19,520",Yes,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Tender doc,766.0,Nil,Nil,No,09-Jun-2025 12:00 PM,09-Jul-2025 12:30 PM,09-Jun-2025 12:00 PM,09-Jul-2025 12:00 PM,NA ,NA ,09-Jun-2025 12:00 PM,09-Jul-2025 12:00 PM,11-Jul-2025 12:00 PM,EE RED,Vikash Bhavan Varanasi,AOC,1,5287255,MAA DURGE AADI SUBHANGAM CONSTRUCTION COMPANY,03-Jul-2025 11:58 AM,Accepted-AOC,L1,18-Sep-2025 04:03 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,2025_REDUP_1046714_29,243 Date 26-04-2025,Gram Sabha Newada Me Sree Ashok Gupta Ki Dukan se Shree Rajendra Maurya ke Ghar ke Aage Antim Bhag Tak Interlocking ka karya.,1.0,5287255.0,MAA DURGE AADI SUBHANGAM CONSTRUCTION COMPANY,INR,"976,458.03",EE,Internal,,SHAILENDRA PRASAD,12-Aug-2025 03:15 PM,finsummary_1901302.pdf (112.50 KB),Finance,Admitted,Pankaj Rai,11-Jul-2025 03:22 PM,,BOQ Comparative Chart,EE,Internal,,SHAILENDRA PRASAD,10-Jul-2025 05:51 PM,11-Jul-2025 12:00 PM,techsummary_1901302.pdf (476.88 KB),Technical,Admitted,SHAILENDRA PRASAD,10-Jul-2025 04:18 PM,,18-Sep-2025,"INR 976,458.03",90.0,Rajesh Kumar Yadav,18-Sep-2025 04:03 PM,1224.pdf (877.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,,,,,,,,,,,,,,,,AOC,2,5287585,M/s Riddhi Enterprises,03-Jul-2025 01:39 PM,Rejected-Finance,L2,12-Aug-2025 03:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
