Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,2025_REDUP_1050840_9,368 Date 13-05-2025,Ward no-59 Ramrepur antragat giri nagar colony me bahadur patel ke avas se munna yadav hote hue SA 5/151-D-21 tak chauka ki jagah interlocking v CC Block nali nirman karya.,1.0,5354365.0,FATE BAHADUR SINGH,INR,"1,320,651.84",1,5354365,FATE BAHADUR SINGH,18-Jul-2025 02:45 PM,Accepted-AOC,L1,20-Sep-2025 01:43 PM,20-Sep-2025,"INR 1,320,651.84",90.0,SHAILENDRA PRASAD,20-Sep-2025 01:43 PM,1520.pdf (897.00 KB),EE,Internal,,SHAILENDRA PRASAD,29-Jul-2025 03:54 PM,02-Aug-2025 12:59 AM,techsummary_1909874.pdf (525.25 KB),Finance,Admitted,SHAILENDRA PRASAD,12-Aug-2025 02:39 PM,,BOQ Comparative Chart,EE,Internal,,SHAILENDRA PRASAD,21-Aug-2026 11:59 AM,finsummary_1909874.pdf (111.60 KB),Technical,Admitted,SHAILENDRA PRASAD,29-Jul-2025 03:21 PM,,AOC,766.0,Nil,Nil,No,"26,440",Yes,percentage,2.0%,Nil,Nil,Ward no-59 Ramrepur antragat giri nagar colony me bahadur patel ke avas se munna yadav hote hue SA 5/151-D-21 tak chauka ki jagah interlocking v CC Block nali nirman karya.,Ward no-59 Ramrepur antragat giri nagar colony me bahadur patel ke avas se munna yadav hote hue SA 5/151-D-21 tak chauka ki jagah interlocking v CC Block nali nirman karya.,Please refer Tender documents. ,NA ,"13,22,000",Civil Works,NA ,Tender,90.0,90.0,Vikash Bhavan Varanasi,221002.0,NA ,NA ,NA ,Vikash Bhavan Varanasi,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,368 Date 13-05-2025,2025_REDUP_1050840_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Tender doc,1.0,SBI Bank,EE RED,Vikash Bhavan Varanasi,21-Jun-2025 04:00 PM,21-Jul-2025 12:30 PM,21-Jun-2025 04:00 PM,21-Jul-2025 12:00 PM,NA ,NA ,21-Jun-2025 04:00 PM,21-Jul-2025 12:00 PM,02-Aug-2025 12:00 PM,AOC
,,,,,,,,,2,5354451,M/S PRAGATI CONSTRUCTION,18-Jul-2025 03:18 PM,Rejected-Finance,L2,21-Aug-2025 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,,,,,,,,,,,,,,AOC
