Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,14/E.E/Kasganj/NIDHI/2025-26 Dt 23.08.2025,2025_SCIDC_1068081_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,062",U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,ETAH,No,1.0,Fee/PreQual/Technical,.pdf,TENDER NOTICE,"E.E., UPSCIDCO, KASGANJ",Executive Engineer UPSCIDCO 106 Aruna Nagar Etah,Interlocking work from Chakrapal house to the culvert in the village panchayat Dampura of Block Ganjdandawara. (NIDHI WORK),Interlocking work from Chakrapal house to the culvert in the village panchayat Dampura of Block Ganjdandawara. (NIDHI WORK),Please refer Tender documents. ,NA ,"7,28,392",Civil Works - Roads,NA ,Tender,60.0,120.0,KASGANJ,207123.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, ETAH",No ,No,23-Aug-2025 06:00 PM,30-Aug-2025 11:00 AM,23-Aug-2025 06:00 PM,30-Aug-2025 10:00 AM,NA ,NA ,23-Aug-2025 06:00 PM,30-Aug-2025 10:00 AM,03-Sep-2025 10:00 AM,1,DD - Demand Draft,"15,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,ETAH,AOC,Technical,Technical Report,Avdhesh kumar Verma,02-Sep-2025 07:50 PM,technical_1948158.pdf,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH VERMA, E.E, UPSCIDCO, ETAH/KASGANJ, 2-PRAMOD KUMAR, AAO, UPSCIDCO, ETAH/KASGANJ",Avdhesh kumar Verma,06-Sep-2025 11:04 AM,finsummary_1948158.pdf (108.63 KB),Finance,FINANCIAL REPORT,Avdhesh kumar Verma,06-Sep-2025 10:46 AM,finance_1948158.pdf,BOQ Comparative Chart,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH VERMA, E.E, UPSCIDCO, ETAH/KASGANJ, 2-PRAMOD KUMAR, AAO, UPSCIDCO, ETAH/KASGANJ",Avdhesh kumar Verma,02-Sep-2025 07:59 PM,03-Sep-2025 10:00 AM,techsummary_1948158.pdf (140.22 KB),06-Sep-2025,"INR 728,000",120.0,Avdhesh kumar Verma,10-Sep-2025 12:59 PM,0194WO.pdf (682.00 KB),LOI OF WORK,1.0,5507138.0,M/S Raj Construction,29-Aug-2025 11:26 AM,Rejected-Finance,AMOUNT IS HIGH,06-Sep-2025 11:04 AM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,2025_SCIDC_1068081_1,14/E.E/Kasganj/NIDHI/2025-26 Dt 23.08.2025,Interlocking work from Chakrapal house to the culvert in the village panchayat Dampura of Block Ganjdandawara. (NIDHI WORK),1.0,5504985.0,M/S RASHMI DEVI CONSTRUCTION,INR,"727,854.4",AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5504985.0,M/S RASHMI DEVI CONSTRUCTION,28-Aug-2025 01:16 PM,Accepted-AOC,AMOUNT IS LOWEST,10-Sep-2025 12:59 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
