Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
UP STATE INDUSTRIAL DEVELOPMENT CORPORATION||KANPUR||EE KANPUR,ED-II (161) Date 02.06.2025,2025_SIDC_1046557_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Supply and installation of street light on newly constructed central verge by PWD at IA. Masuri Gulawathi road along with 01 year AMC.,Supply and installation of street light on newly constructed central verge by PWD at IA. Masuri Gulawathi road along with 01 year AMC.,As per technical bid documents ,NA ,"56,17,162",Electrical Works,Electrical works  ,Tender,90.0,425.0,Masuri Gulwathi Road Hapur,201015.0,NA ,NA ,NA ,TDS City GZB,No ,No,Sr Manager Elect,Office of the Sr Manager Elect ED II UPSIDA TDS City GZB,1.0,RTGS - RTGS Payment,"1,33,000",Yes,fixed,,Sr Manager,Sr Manager,"2,552",Sr Manager,Sr Manager,No,1.0,Extend the date,Date,,07-Jun-2025 11:00 AM,07-Jul-2025 11:00 AM,07-Jun-2025 11:00 AM,05-Jul-2025 06:00 PM,NA ,NA ,07-Jun-2025 11:00 AM,05-Jul-2025 06:00 PM,15-Jul-2025 06:30 PM,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,AOC,Technical,Technical Bid summary,Amit Kumar,08-Jul-2025 01:18 PM,,UP STATE INDUSTRIAL DEVELOPMENT CORPORATION||KANPUR||EE KANPUR,2025_SIDC_1046557_1,ED-II (161) Date 02.06.2025,Supply and installation of street light on newly constructed central verge by PWD at IA. Masuri Gulawathi road along with 01 year AMC.,DGM,Internal,SM Manager AFAO,Ashish Singh Tomar,03-Sep-2025 05:39 PM,finsummary_1900779.pdf (5548.00 KB),1.0,5290555.0,M/S LIBRA ENTERPRISES,INR,"5,194,752.25",1,5278236,bansal contractor and supplier,03-Jul-2025 04:53 PM,Rejected-Finance,You are second lowest,03-Sep-2025 05:39 PM,03-Sep-2025,"INR 5,194,752.25",425.0,Ashish Singh Tomar,03-Sep-2025 05:41 PM,161_0001.pdf (5548.00 KB),"AOC to M/S Libra Enterprises, Agra",GM,Internal,DGM SM AFAO Manager,Ashish Singh Tomar,15-Jul-2025 06:29 PM,15-Jul-2025 06:30 PM,techsummary_1900779.pdf (2656.50 KB),Finance,Price Bid Summary,Ashish Singh Tomar,16-Jul-2025 11:13 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,AOC,,,,,,,,,,,,,,,,,,,,,2,5290555,M/S LIBRA ENTERPRISES,05-Jul-2025 08:33 AM,Accepted-AOC,You are first lowest,03-Sep-2025 05:41 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,5276803,Vashu Enterprises,27-Jun-2025 02:06 PM,Rejected-Technical,Registration certificate not uploaded,15-Jul-2025 06:29 PM,,,,,,,,,,,,,,,,,,,,,AOC
