Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Sr Manager,Internal,AM Manager AFAO HQ,Ashish Singh Tomar,21-Jul-2025 01:56 PM,21-Jul-2025 02:00 PM,techsummary_1917266.pdf (1936.22 KB),Finance,Price Bid Summary,Ashish Singh Tomar,21-Jul-2025 04:28 PM,,BOQ Comparative Chart,03-Sep-2025,"INR 6,414,047.65",90.0,Ashish Singh Tomar,03-Sep-2025 05:45 PM,97_0001.pdf (3033.00 KB),"AOC to M/S Maruti Enterprises, Lucknow",1.0,5314921.0,MARUTI ENTERPRISES,11-Jul-2025 04:55 PM,Accepted-AOC,You are first lowest.,03-Sep-2025 05:45 PM,1.0,5314921.0,MARUTI ENTERPRISES,INR,"6,414,047.65",UP STATE INDUSTRIAL DEVELOPMENT CORPORATION||KANPUR||EE KANPUR,2025_SIDC_1054220_1,ED-II (97) Date 13.05.2025,Shifting of 11 KV at 33 11 KV Sub Station No 1 Bulandshahr Road Ghaziabad.,Technical,Technical Bid Summary,Ashish Singh Tomar,14-Jul-2025 12:58 PM,,DGM,Internal,SM Manager AFAO,Ashish Singh Tomar,03-Sep-2025 05:44 PM,finsummary_1917266.pdf (3032.62 KB),AOC,"3,265",Sr Manager,Sr Manager,No,1.0,RTGS - RTGS Payment,"1,54,000",No,fixed,,Sr Manager,Sr Manager,1,Fee/PreQual/Technical,.pdf,Technical Bid,UP STATE INDUSTRIAL DEVELOPMENT CORPORATION||KANPUR||EE KANPUR,ED-II (97) Date 13.05.2025,2025_SIDC_1054220_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,04-Jul-2025 11:00 AM,14-Jul-2025 11:00 AM,04-Jul-2025 11:00 AM,11-Jul-2025 05:00 PM,NA ,NA ,04-Jul-2025 11:00 AM,11-Jul-2025 05:00 PM,21-Jul-2025 02:00 PM,Shifting of 11 KV at 33 11 KV Sub Station No 1 Bulandshahr Road Ghaziabad.,Shifting of 11 KV at 33 11 KV Sub Station No 1 Bulandshahr Road Ghaziabad.,As per technical bid documents ,NA ,"64,95,238",Electrical Works,Electrical works ,Tender,90.0,90.0,Bulandshahr road Ghaziabad,201001.0,NA ,NA ,NA ,TDS City Ghaziabad,No ,No,Sr Manager Elect,Office of the Sr Manager Elect ED II UPSIDA TDS City Ghaziabad.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
