Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
19-Sep-2025,"INR 153,474",60.0,Avdhesh kumar Verma,19-Sep-2025 12:59 PM,051NIT090WOMBD2025.pdf (263.00 KB),LOI OF WORK,1.0,5514663.0,SHAKEEL AHMAD CONTRACTOR,INR,"153,381.92",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,2025_SCIDC_1069015_1,051/EE/MBD/NIDHI/2024-25 Dt. 27-08-2025,"Construction work of 30.00 m CC tiles road and drain from Dr. Israr house to Akhlakh house in village Adalpur, Block-Dilari, District Moradabad. (MLA-Nidhi Work)",1,5513025,M/S A.H CONSTRUCTION AND DEVLOPERS,01-Sep-2025 11:21 PM,Rejected-Finance,AMOUNT IS HIGH,16-Sep-2025 01:25 PM,Finance,FINANCIAL REPORT,Avdhesh kumar Verma,16-Sep-2025 12:47 PM,finance_1950391.pdf,BOQ Comparative Chart,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,12-Sep-2025 02:10 PM,12-Sep-2025 02:15 PM,techsummary_1950391.pdf (216.38 KB),Technical,TECHNICAL REPORT,Avdhesh kumar Verma,12-Sep-2025 01:40 PM,technical_1950391.pdf,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,16-Sep-2025 01:25 PM,finsummary_1950391.pdf (257.28 KB),AOC,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,051/EE/MBD/NIDHI/2024-25 Dt. 27-08-2025,2025_SCIDC_1069015_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"E.E., UPSCIDCO, MORADABAD","E.E. OFFICE, UP STATE CONSTRUCTION AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD., SAMAJ KALYAN CAMPUS, KANTH ROAD, MORADABAD","Construction work of 30.00 m CC tiles road and drain from Dr. Israr house to Akhlakh house in village Adalpur, Block-Dilari, District Moradabad. (MLA-Nidhi Work)","Construction work of 30.00 m CC tiles road and drain from Dr. Israr house to Akhlakh house in village Adalpur, Block-Dilari, District Moradabad. (MLA-Nidhi Work)",Please refer Tender documents. ,NA ,"1,53,474",Civil Works - Roads,NA ,Tender,60.0,60.0,MORADABAD,244001.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, MORADABAD",No ,No,531.0,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,No,1,FDR - Fixed Deposit,27-Aug-2025 04:00 PM,03-Sep-2025 11:00 AM,27-Aug-2025 04:00 PM,03-Sep-2025 10:00 AM,NA ,NA ,27-Aug-2025 04:00 PM,03-Sep-2025 10:00 AM,12-Sep-2025 02:15 PM,1,Fee/PreQual/Technical,.pdf,TENDER NOTICE,"3,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,AOC
,,,,,,,,,,,,,,,,2,5514663,SHAKEEL AHMAD CONTRACTOR,03-Sep-2025 12:09 AM,Accepted-AOC,AMOUNT IS LOWEST,19-Sep-2025 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,2,Finance,.xls,PRICE BID,,,,,,,AOC
