Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,2025_REDUP_1057257_1,345/RED/Chandauli/25-26 Date-01-07-2025,Vikash Khand Chandauli sadar ke Gram Panchayat Darveshpur me Shivmandir ke pas Sthit pokhara Gata No. 219 kh pr ghat ka nirman.,1.0,5394351.0,JAI HANUMAN CONSTRUCTION,INR,"1,208,580",1,5394351,JAI HANUMAN CONSTRUCTION,01-Aug-2025 12:19 PM,Accepted-AOC,1st Lowest bidder,28-Sep-2025 12:46 PM,24-Sep-2025,"INR 1,208,580",90.0,Aniruddh Kumar Yadav,28-Sep-2025 12:46 PM,Darvesh.pdf (480.00 KB),EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,07-Aug-2025 02:59 PM,14-Aug-2025 11:00 AM,techsummary_1924336.pdf (336.71 KB),Finance,bids received,Aniruddh Kumar Yadav,14-Aug-2025 12:39 PM,,BOQ Comparative Chart,EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,24-Sep-2025 04:52 PM,finsummary_1924336.pdf (1187.14 KB),Technical,bids received,Aniruddh Kumar Yadav,07-Aug-2025 02:42 PM,,AOC,"1,016",Nil,Nil,No,"24,500",No,fixed,,Nil,Nil,15-Jul-2025 04:30 PM,02-Aug-2025 12:30 PM,15-Jul-2025 04:30 PM,02-Aug-2025 12:00 PM,NA ,NA ,15-Jul-2025 04:30 PM,02-Aug-2025 12:00 PM,14-Aug-2025 11:00 AM,1.0,SBI Bank,Vikash Khand Chandauli sadar ke Gram Panchayat Darveshpur me Shivmandir ke pas Sthit pokhara Gata No. 219 kh pr ghat ka nirman.,Vikash Khand Chandauli sadar ke Gram Panchayat Darveshpur me Shivmandir ke pas Sthit pokhara Gata No. 219 kh pr ghat ka nirman.,Please refer Tender documents. ,NA ,"12,09,000",Civil Works - Others,NA ,Tender,90.0,90.0,Chandauli,232104.0,NA ,NA ,NA ,EE RED Chandauli,No ,No,EE RED Chandauli,EE RED Chandauli,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,345/RED/Chandauli/25-26 Date-01-07-2025,2025_REDUP_1057257_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,EMD Fees and Technical Document,AOC
,,,,,,,,,2,5390610,KRISHNAWATI CONSTRUCTIONS,30-Jul-2025 03:41 PM,Rejected-Finance,Reject due to higher rate,24-Sep-2025 04:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Document,AOC
