EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"1,31,000",No,fixed,,Nil,Nil,UP Police Awas Nigam Limited||UP Police Awas Nigam Ltd HQ Lucknow,"2186/PAN/ET/25-26, DT. 31-07-2025",2025_UPPAN_1061783_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,1.0,SBI Bank,31-Jul-2025 06:00 PM,14-Aug-2025 11:30 AM,31-Jul-2025 06:00 PM,13-Aug-2025 05:00 PM,NA ,NA ,31-Jul-2025 06:00 PM,13-Aug-2025 05:00 PM,26-Aug-2025 02:00 PM,"2,360",Nil,Nil,No,CONSTRUCTION OF PARADE GROUND BOUNDARY WALL AT POLICE LINE RAMPUR U.P.,CONSTRUCTION OF PARADE GROUND BOUNDARY WALL AT POLICE LINE RAMPUR U.P.,Please refer Tender documents. ,NA ,"65,77,000",Civil Works,NA ,Tender,90.0,270.0,POLICE LINE RAMPUR U.P.,244901.0,NA ,NA ,NA ,U.P. Police Awas Nigam Ltd. Lucknow,No ,No,SANJEEV SAXENA,U.P. Police Awas Nigam Ltd. Lucknow,AOC,Technical,2 bidder rejected in technical evaluation,Sanjeev Saxena,25-Aug-2025 02:01 PM,,SANJEEV SAXENA,Internal,SHAMSHAD AHMED MANOJ KUMAR JOSHI,Sanjeev Saxena,28-Aug-2025 11:47 AM,finsummary_1934680.pdf (610.63 KB),Finance,All bidder admitted,Sanjeev Saxena,26-Aug-2025 04:54 PM,,BOQ Comparative Chart,SANJEEV SAXENA,Internal,SHAMSHAD AHMED MANOJ KUMAR JOSHI,Sanjeev Saxena,25-Aug-2025 02:07 PM,26-Aug-2025 02:00 PM,techsummary_1934680.pdf (1230.50 KB),18-Sep-2025,"INR 5,405,636.3",270.0,SHAMSHAD AHMED,18-Sep-2025 12:41 PM,LOARAMPURBOUNDARY.pdf (756.00 KB),L1,1,5417150,ANGLE CONSTRUCTION & SUPPLIER,13-Aug-2025 03:32 PM,Rejected-Finance,L3,28-Aug-2025 11:47 AM,1.0,5412286.0,NYSHA CONSTRUCTION,INR,"5,405,636.3",UP Police Awas Nigam Limited||UP Police Awas Nigam Ltd HQ Lucknow,2025_UPPAN_1061783_1,"2186/PAN/ET/25-26, DT. 31-07-2025",CONSTRUCTION OF PARADE GROUND BOUNDARY WALL AT POLICE LINE RAMPUR U.P.,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5426474,ASHA ENTERPRISES,13-Aug-2025 03:00 PM,Rejected-Finance,L6,28-Aug-2025 11:47 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5423146,BALDEV AND RAM GROUP F CONSTRUCTION,13-Aug-2025 04:34 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-Aug-2025 02:01 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5423525,IQRAR AHMAD CONTRACTOR,13-Aug-2025 03:32 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-Aug-2025 02:01 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5422780,M/S ALFAROOQUE CONSTRUCTION,12-Aug-2025 12:27 PM,Rejected-Finance,L4,28-Aug-2025 11:47 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5423476,M/s Arvind Singh,12-Aug-2025 03:19 PM,Rejected-Finance,L7,28-Aug-2025 11:47 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5426227,M/S JAGAT SINGH CONTRACTOR,13-Aug-2025 01:03 PM,Rejected-Finance,L5,28-Aug-2025 11:47 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5423640,M/S MOHD KAMIL CONTRACTOR,12-Aug-2025 03:55 PM,Rejected-Finance,L9,28-Aug-2025 11:47 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5412841,M/s Prakash Traders,08-Aug-2025 07:53 PM,Rejected-Finance,L8,28-Aug-2025 11:47 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5424007,M/S SHRI KRISHNA TRADERS,13-Aug-2025 02:32 PM,Rejected-Finance,L10,28-Aug-2025 11:47 AM,,,,,,,,,,AOC
