S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,FDR - Fixed Deposit,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,053/EE/MBD/NIDHI/2025-26 Dt. 27-08-2025,2025_SCIDC_1069025_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"17,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,1.0,Fee/PreQual/Technical,.pdf,TENDER NOTICE,"1,062",U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,No,"Construction work of 80.00 m CC tiles road and drain from Mahmood house to Akhtar house in village Jatpura, Block-Dilari, District Moradabad. (MLA-Nidhi Work)","Construction work of 80.00 m CC tiles road and drain from Mahmood house to Akhtar house in village Jatpura, Block-Dilari, District Moradabad. (MLA-Nidhi Work)",Please refer Tender documents. ,NA ,"8,11,881",Civil Works - Roads,NA ,Tender,60.0,60.0,MORADABAD,244001.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, MORADABAD",No ,No,"E.E., UPSCIDCO, MORADABAD","E.E. OFFICE, UP STATE CONSTRUCTION AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD., SAMAJ KALYAN CAMPUS, KANTH ROAD, MORADABAD",25-May-2026 11:40 AM,03-Sep-2025 11:00 AM,27-Aug-2025 04:00 PM,03-Sep-2025 10:00 AM,NA ,NA ,27-Aug-2025 04:00 PM,03-Sep-2025 10:00 AM,12-Sep-2025 02:15 PM,AOC,Finance,FINANCIAL REPORT,Avdhesh kumar Verma,16-Sep-2025 12:49 PM,finance_1950415.pdf,BOQ Comparative Chart,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,12-Sep-2025 02:14 PM,12-Sep-2025 02:15 PM,techsummary_1950415.pdf (213.06 KB),Technical,FEES REPORT,Avdhesh kumar Verma,12-Sep-2025 01:26 PM,technical_1950415.pdf,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,16-Sep-2025 01:31 PM,finsummary_1950415.pdf (256.59 KB),19-Sep-2025,"INR 811,881",60.0,Avdhesh kumar Verma,19-Sep-2025 01:03 PM,053NIT092WOMBD2025.pdf (252.00 KB),LOI OF WORK,1,5513191,LUCKY BROTHERS GROUP,02-Sep-2025 07:47 AM,Accepted-AOC,AMOUNT IS LOWEST,19-Sep-2025 01:03 PM,1.0,5513191.0,LUCKY BROTHERS GROUP,INR,"811,475.06",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,2025_SCIDC_1069025_1,053/EE/MBD/NIDHI/2025-26 Dt. 27-08-2025,"Construction work of 80.00 m CC tiles road and drain from Mahmood house to Akhtar house in village Jatpura, Block-Dilari, District Moradabad. (MLA-Nidhi Work)",AOC
2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5513036,M/S A.H CONSTRUCTION AND DEVLOPERS,01-Sep-2025 11:34 PM,Rejected-Finance,AMOUNT IS HIGH,16-Sep-2025 01:31 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5511644,S K Timber,01-Sep-2025 09:57 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,12-Sep-2025 01:26 PM,,,,,,,,,,AOC
