Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,2025_REDUP_1056091_1,616/EE/RED/2025-26/30-06-2025,Lot31 vikash khand murli chappra ke gram panchayat kodrahara naubrar ke sansar tola me ramayan ke ghar se vijay sankar yadav ke ghar ki tarf jane wale marg ka nirman kary,1.0,5386767.0,BABA NARAYAN CONSTRUCTION,INR,"635,350.11",1.0,5386767.0,BABA NARAYAN CONSTRUCTION,29-Jul-2025 07:41 AM,Accepted-AOC,aoc,23-Sep-2025 11:07 AM,16-Sep-2025,"INR 635,350.11",90.0,Ratnesh Kumar Gond,23-Sep-2025 11:06 AM,31fev616.pdf (100.00 KB),aoc,EE,Internal,aedao,Ratnesh Kumar Gond,15-Sep-2025 05:15 PM,finsummary_1921705.pdf (97.12 KB),Technical,2 bid,Ratnesh Kumar Gond,31-Jul-2025 10:51 AM,technical_1921705.pdf,EE,Internal,aedao,Ratnesh Kumar Gond,28-Aug-2025 01:41 PM,29-Aug-2025 10:00 AM,techsummary_1921705.pdf (97.99 KB),Finance,2 bid,Ratnesh Kumar Gond,01-Sep-2025 05:21 PM,finance_1921705.pdf,BOQ Comparative Chart,AOC,Lot31 vikash khand murli chappra ke gram panchayat kodrahara naubrar ke sansar tola me ramayan ke ghar se vijay sankar yadav ke ghar ki tarf jane wale marg ka nirman kary,Lot31 vikash khand murli chappra ke gram panchayat kodrahara naubrar ke sansar tola me ramayan ke ghar se vijay sankar yadav ke ghar ki tarf jane wale marg ka nirman kary,Please refer Tender documents. ,NA ,"6,36,000",Civil Works,NA ,Tender,90.0,90.0,ballia,277001.0,EE RED DIV Ballia ,EE RED DIV Ballia ,25-Jul-2025 09:00 AM ,EE RED DIV Ballia,No ,No,1.0,Fee/PreQual/Technical,.pdf,TENDER FEE EMD,23-Jul-2025 09:00 AM,30-Jul-2025 12:30 PM,23-Jul-2025 09:00 AM,29-Jul-2025 12:00 PM,NA ,NA ,23-Jul-2025 09:00 AM,29-Jul-2025 12:00 PM,29-Aug-2025 10:00 AM,EE RED DIV Ballia,EE RED DIV Ballia,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE||EE BALLIA,616/EE/RED/2025-26/30-06-2025,2025_REDUP_1056091_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"14,000",Yes,fixed,,Nil,Nil,856.0,Nil,Nil,No,AOC
,,,,,,,,,2.0,5386912.0,M/S KAMAL DEO YADAV,29-Jul-2025 09:09 AM,Rejected-Finance,second lowest,15-Sep-2025 05:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER TECNICAL DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ FOR RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
