S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,APPENDIX A TO E,Providing and fixing of water supply in affordables houses sector 22 D (Group H I)YEA WC-02,Providing and fixing of water supply in affordables houses sector 22 D (Group H I)YEA WC-02,Please refer Tender documents. ,NA ,"20,80,500",Civil Works,NA ,Tender,90.0,730.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,YEIDA 2nd FLOOR TENDER CELL,No ,No,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/1058 DT-01/05/2025,2025_YEIDA_1036426_3,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,06-May-2025 06:55 PM,23-May-2025 11:00 AM,06-May-2025 06:55 PM,21-May-2025 05:00 PM,NA ,NA ,06-May-2025 06:55 PM,21-May-2025 05:00 PM,16-Jul-2025 05:05 PM,840.0,Nil,Nil,No,"42,000",No,fixed,,Nil,Nil,1.0,Corrigendum,Date,,AOC,Committee,Internal,Committee,VIKAS KUMAR,20-Aug-2025 12:47 PM,finsummary_1878063.pdf (4895.49 KB),Technical,EVALUATION,BHARAM PAL SINGH,16-Jul-2025 04:43 PM,,Tender Committee,Internal,Committee,BHARAM PAL SINGH,16-Jul-2025 05:03 PM,16-Jul-2025 05:05 PM,techsummary_1878063.pdf (594.16 KB),Finance,EVALUATION,VIKAS KUMAR,20-Aug-2025 12:44 PM,,BOQ Comparative Chart,1,5182164,KP CONST. CO.,14-May-2025 10:10 PM,Rejected-Technical,DISQUALIFIED,16-Jul-2025 05:03 PM,Yamuna Expressway Industrial Development Authority,2025_YEIDA_1036426_3,YEA/GM(PROJECT)/2025/1058 DT-01/05/2025,Providing and fixing of water supply in affordables houses sector 22 D (Group H I)YEA WC-02,1.0,5189804.0,VIDHAN CONSTRUCTION,INR,"1,966,072.5",16-Sep-2025,"INR 1,966,072.5",730.0,BHARAM PAL SINGH,16-Sep-2025 04:48 PM,Aoc1058_3.pdf (784.00 KB),AOC,AOC
,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5190621,M/S ANUSHKA CONSTRUCTION,15-May-2025 08:47 AM,Rejected-Technical,DISQUALIFIED,16-Jul-2025 05:03 PM,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5191456,M/s Bhanwar Singh,15-May-2025 02:08 PM,Rejected-Technical,DISQUALIFIED,16-Jul-2025 05:03 PM,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5188997,M/S GREEN GARDEN NURSERY,15-May-2025 11:32 AM,Rejected-Finance,L3,20-Aug-2025 12:47 PM,,,,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,5191650,M/S JAGDEV PRASAD,15-May-2025 02:54 PM,Rejected-Finance,L2,20-Aug-2025 12:47 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,5205053,M/S NARENDRA KUMAR,21-May-2025 03:15 PM,Rejected-Technical,DISQUALIFIED,16-Jul-2025 05:03 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,5203297,M/S niranjan contractor,21-May-2025 01:24 PM,Rejected-Technical,DISQUALIFIED,16-Jul-2025 05:03 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,5206132,SIDH GREEN INTERNATIONAL PRIVATE LIMITED,21-May-2025 04:17 PM,Rejected-Technical,DISQUALIFIED,16-Jul-2025 05:03 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,5189804,VIDHAN CONSTRUCTION,21-May-2025 09:06 AM,Accepted-AOC,L1,16-Sep-2025 04:49 PM,,,,,,,,,,,,,,,,,AOC
