Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/1065 DT-09/05/2025,2025_YEIDA_1038978_13,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"6,770",Nil,Nil,No,1.0,Corrigendum 1,Date,,"Construction of RCC drain along 45mtr. wide road node no-40 to 41 (ch-o.00 to 0.651km) and culvert crossing of 30mtr wide road in sec-22D,YEA .WC-02","Construction of RCC drain along 45mtr. wide road node no-40 to 41 (ch-o.00 to 0.651km) and culvert crossing of 30mtr wide road in sec-22D,YEA .WC-02",Please refer Tender documents. ,NA ,"6,98,51,786",Civil Works,NA ,Tender,90.0,365.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,YEIDA 2nd FLOOR TENDER CELL,No ,No,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC","13,98,000",No,fixed,,Nil,Nil,15-May-2025 06:55 PM,11-Jun-2025 11:00 AM,15-May-2025 06:55 PM,09-Jun-2025 05:00 PM,NA ,NA ,15-May-2025 06:55 PM,09-Jun-2025 05:00 PM,17-Jul-2025 04:00 PM,GM P,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,1.0,SBI Bank,AOC,1.0,5240263.0,M/S ARY INFRATECH,INR,"46,807,682.19",Committee,Internal,Committee,BHARAM PAL SINGH,12-Aug-2025 06:18 PM,finsummary_1885016.pdf (119.31 KB),Finance,UNDER EVALUATION,BHARAM PAL SINGH,12-Aug-2025 06:11 PM,,BOQ Comparative Chart,1,5242344,ELECSA INFRATECH PRIVATE LIMITED,09-Jun-2025 04:54 PM,Rejected-Finance,L2,12-Aug-2025 06:18 PM,Yamuna Expressway Industrial Development Authority,2025_YEIDA_1038978_13,YEA/GM(PROJECT)/2025/1065 DT-09/05/2025,"Construction of RCC drain along 45mtr. wide road node no-40 to 41 (ch-o.00 to 0.651km) and culvert crossing of 30mtr wide road in sec-22D,YEA .WC-02",Committee,Internal,Committee,NITENDRA KUMAR ADARSH,17-Jul-2025 02:33 PM,17-Jul-2025 04:00 PM,techsummary_1885016.pdf (1009.18 KB),12-Aug-2025,"INR 46,807,682.19",365.0,VIKAS KUMAR,22-Sep-2025 03:33 PM,1065_13.pdf (1141.00 KB),AOC,Technical,EVALUATION,NITENDRA KUMAR ADARSH,17-Jul-2025 11:01 AM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5220502,K.P. Associates,28-May-2025 04:00 PM,Rejected-Finance,L4,12-Aug-2025 06:18 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,3,5240263,M/S ARY INFRATECH,08-Jun-2025 04:06 PM,Accepted-AOC,L1,22-Sep-2025 03:33 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,4,5242033,M/S KAPIL ENTERPRISES,09-Jun-2025 02:14 PM,Rejected-Finance,L3,12-Aug-2025 06:18 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,5,5241736,PARAS CONSTRUCTION,09-Jun-2025 01:33 PM,Rejected-Finance,L5,12-Aug-2025 06:18 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,6,5216397,Raja contractors & engineers,09-Jun-2025 03:10 PM,Rejected-Finance,L6,12-Aug-2025 06:18 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,7,5242117,Shri Krishna And Company,09-Jun-2025 02:36 PM,Rejected-Finance,L7,12-Aug-2025 06:18 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
