Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE PRATAPGARH,27/Gr.a.vi./Etender/25-26,2025_REDUP_1066188_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE RED Pratapgarh,EE RED Pratapgarh,1,Fee/PreQual/Technical,.pdf,NIT,"20,700",Yes,fixed,,Nil,Nil,18-Aug-2025 10:00 AM,23-Aug-2025 03:00 PM,18-Aug-2025 10:00 AM,23-Aug-2025 12:00 PM,NA ,NA ,18-Aug-2025 11:00 AM,23-Aug-2025 12:00 PM,01-Sep-2025 12:45 PM,1.0,SBI Bank,900.0,Nil,Nil,No,Saiiad Khan Pradip SIngh ke ghr se Bad epandit ji ke ghr hote hue Madan Tiwari ke ghr tk CC Block Bihar,Saiiad Khan Pradip SIngh ke ghr se Bad epandit ji ke ghr hote hue Madan Tiwari ke ghr tk CC Block Bihar,As per NIT ,NA ,,Civil Works,NA ,Tender,90.0,90.0,Pratapgarh,230001.0,NA ,NA ,NA ,RED Pratapgarh,No ,No,AOC,Finance,,SUJEET RAI,03-Sep-2025 11:27 AM,,BOQ Comparative Chart,Er.Sujeet Rai,Internal,R C Mauray AE Manoj Kr. Mishra DAO,SUJEET RAI,01-Sep-2025 12:24 PM,01-Sep-2025 12:45 PM,techsummary_1943764.pdf (498.08 KB),Technical,,SUJEET RAI,01-Sep-2025 12:20 PM,,Er.Sujeet kr Rai,Internal,"Manoj Mishra DAO, RC Mauruya AE",SUJEET RAI,09-Sep-2025 12:51 PM,finsummary_1943764.pdf (641.05 KB),09-Sep-2025,"INR 1,032,846.707",90.0,SUJEET RAI,09-Sep-2025 12:56 PM,SayeedKhanAOC.pdf (641.00 KB),AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE PRATAPGARH,2025_REDUP_1066188_1,27/Gr.a.vi./Etender/25-26,Saiiad Khan Pradip SIngh ke ghr se Bad epandit ji ke ghr hote hue Madan Tiwari ke ghr tk CC Block Bihar,1.0,5469886.0,NARAYAN KRIPA CONSTRUCTIONS,INR,"1,032,846.707",1,5469793,M/S ALOK PRATAP SINGH,21-Aug-2025 05:50 PM,Rejected-Finance,,09-Sep-2025 12:51 PM,AOC
,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5469886,NARAYAN KRIPA CONSTRUCTIONS,21-Aug-2025 06:07 PM,Accepted-AOC,aoc,09-Sep-2025 12:56 PM,AOC
