Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Bulandshahar||MGCCD-13, Garh Mukteshwar",01/EE/2025-26,2025_UPIDC_1030068_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"4,200",Yes,fixed,,Nil,Nil,677.0,Nil,Nil,No,CONSTRUCTION OF OUTLETS AT GULALPUR MINOR FROM KM 0.000 TO KM 2.000 UNDER PROJECT M. G. C. STAGE-II IN DISTRICT- SAMBHAL. Lot-1,CONSTRUCTION OF OUTLETS AT GULALPUR MINOR FROM KM 0.000 TO KM 2.000 UNDER PROJECT M. G. C. STAGE-II IN DISTRICT- SAMBHAL.,Please refer Tender documents. ,NA ,"2,06,000",Civil Works - Canal,NA ,Tender,90.0,90.0,SAMBHAL,244302.0,NA ,NA ,NA ,HAPUR,No ,No,20-May-2025 10:00 AM,26-May-2025 03:00 PM,20-May-2025 10:00 AM,26-May-2025 02:00 PM,NA ,NA ,20-May-2025 10:00 AM,26-May-2025 02:00 PM,27-May-2025 03:00 PM,1,Fee/PreQual/Technical,.pdf,Tender Notice,EXECUTIVE ENGINEER,OFFICE OF THE EE MGCCD-13 GARHMUKTESHWAR,AOC,Finance,Fincail submit,manoj kumar,28-Jun-2025 05:05 PM,,BOQ Comparative Chart,Manoj kumar,Internal,Vikash kumar,manoj kumar,27-May-2025 02:14 PM,27-May-2025 03:00 PM,techsummary_1887637.pdf (250.12 KB),Technical,Technical Docuement verifed,manoj kumar,27-May-2025 02:09 PM,technical_1887637.pdf,Manoj kumar,Internal,Vikash kumar,manoj kumar,07-Aug-2025 12:47 PM,finsummary_1887637.pdf (470.85 KB),15-Sep-2025,"INR 196,792.31",90.0,manoj kumar,15-Sep-2025 11:44 AM,AOC01.pdf (339.00 KB),Aoc,1.0,5214884.0,Nepal Singh Contractor,INR,"196,792.31","U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Bulandshahar||MGCCD-13, Garh Mukteshwar",2025_UPIDC_1030068_4,01/EE/2025-26,CONSTRUCTION OF OUTLETS AT GULALPUR MINOR FROM KM 0.000 TO KM 2.000 UNDER PROJECT M. G. C. STAGE-II IN DISTRICT- SAMBHAL. Lot-1,1,5214953,M/S DEVENDRA KUMAR CONTRACTOR,26-May-2025 09:12 AM,Rejected-Finance,Due to L2,07-Aug-2025 12:47 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Tender Notice,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5214884,Nepal Singh Contractor,26-May-2025 08:34 AM,Accepted-AOC,Due to L-1,15-Sep-2025 11:44 AM,AOC
