Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2025_REDUP_1055286_5,874/EE/RED/GKP/25-26 Date 23-06-25,Block-Pali ke Gramo ki Sima Sthambho ke Punarnirman Sthapna Punarsthapna ke Sambandh mein,1.0,5331628.0,M/S AADI SHAKTI TRADERS,INR,"1,338,695.53",1,5331628,M/S AADI SHAKTI TRADERS,15-Jul-2025 12:29 PM,Accepted-AOC,L1,12-Sep-2025 02:41 PM,01-Sep-2025,"INR 1,340,054",90.0,Shachindra Singh,12-Sep-2025 02:41 PM,bpdf.pdf (154.00 KB),Executive Engineer,Internal,,AMIT KUMAR RAJ,24-Jul-2025 04:19 PM,finsummary_1920071.pdf (154.20 KB),Technical,Opend,Shachindra Singh,22-Jul-2025 10:59 AM,,Executive Engineer,Internal,,Shachindra Singh,24-Jul-2025 12:54 PM,24-Jul-2025 01:00 PM,techsummary_1920071.pdf (287.41 KB),Finance,Opend,AMIT KUMAR RAJ,24-Jul-2025 03:52 PM,,BOQ Comparative Chart,AOC,Executive Engineer,Vikash bhawan,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,874/EE/RED/GKP/25-26 Date 23-06-25,2025_REDUP_1055286_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"26,940",No,percentage,2.0%,Nil,Nil,812.0,Nil,Nil,No,Block-Pali ke Gramo ki Sima Sthambho ke Punarnirman Sthapna Punarsthapna ke Sambandh mein,Block-Pali ke Gramo ki Sima Sthambho ke Punarnirman Sthapna Punarsthapna ke Sambandh mein,Please refer Tender documents. ,NA ,"13,47,000",Civil Works,NA ,Tender,90.0,90.0,Gorakhpur,273001.0,NA ,NA ,NA ,Vikhash Bhawan,No ,No,10-Jul-2025 09:00 AM,22-Jul-2025 09:00 AM,10-Jul-2025 09:00 AM,21-Jul-2025 12:00 PM,NA ,NA ,10-Jul-2025 09:00 AM,21-Jul-2025 12:00 PM,24-Jul-2025 01:00 PM,1,Fee/PreQual/Technical,.pdf,Technical Bid,AOC
,,,,,,,,,2,5331762,M/s Adi Shakti Construction,15-Jul-2025 08:44 PM,Rejected-AOC,L2,12-Sep-2025 02:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,AOC
