Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,366 Date 13-05-2025,2025_REDUP_1049180_30,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Tender doc,19-Jun-2025 12:00 PM,19-Jul-2025 12:30 PM,19-Jun-2025 12:00 PM,19-Jul-2025 12:00 PM,NA ,NA ,19-Jun-2025 12:00 PM,19-Jul-2025 12:00 PM,26-Jul-2025 12:00 PM,1.0,SBI Bank,766.0,Nil,Nil,No,Shri samser aalu vale ji se shri dilip singh ji ke awas tak rampur shayar mata ke bagal vali gali me interlocking karya.,Shri samser aalu vale ji se shri dilip singh ji ke awas tak rampur shayar mata ke bagal vali gali me interlocking karya.,Please refer Tender documents. ,NA ,"12,77,000",Civil Works,NA ,Tender,90.0,90.0,Vikash Bhavan Varanasi,221002.0,NA ,NA ,NA ,Vikash Bhavan Varanasi,No ,No,EE RED,Vikash Bhavan Varanasi,"25,540",Yes,percentage,2.0%,Nil,Nil,AOC,Finance,Admitted,SHAILENDRA PRASAD,26-Jul-2025 02:55 PM,,BOQ Comparative Chart,EE,Internal,,SHAILENDRA PRASAD,28-Jul-2025 04:03 PM,finsummary_1907097.pdf (110.83 KB),1.0,5338928.0,M/S JAI ENTERPRISES,INR,"1,258,176.3",1,5338928,M/S JAI ENTERPRISES,16-Jul-2025 01:32 PM,Accepted-AOC,L1,23-Sep-2025 05:11 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,2025_REDUP_1049180_30,366 Date 13-05-2025,Shri samser aalu vale ji se shri dilip singh ji ke awas tak rampur shayar mata ke bagal vali gali me interlocking karya.,23-Sep-2025,"INR 1,258,176.3",90.0,SHAILENDRA PRASAD,23-Sep-2025 05:11 PM,1387.pdf (788.00 KB),Technical,Admitted,SHAILENDRA PRASAD,23-Jul-2025 04:36 PM,,EE,Internal,,SHAILENDRA PRASAD,23-Jul-2025 06:39 PM,26-Jul-2025 12:00 PM,techsummary_1907097.pdf (656.73 KB),AOC
,,,,,,,,,,,,,,2,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5340787,TUSAR CONSTRUCTION,18-Jul-2025 11:00 AM,Rejected-Finance,L2,28-Jul-2025 04:03 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
