Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
EERED AGRA,EERED AGRA,1,Fee/PreQual/Technical,.pdf,BID,"8,200",Yes,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE AGRA,536./NIVIDA AGRA/2025-26 dt 01.08.2025,2025_REDUP_1065222_15,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1. Gram lalpur ke majra ratiya me omprakash ke ghar se sahab singh ke ghar tak CC karya,1. Gram lalpur ke majra ratiya me omprakash ke ghar se sahab singh ke ghar tak CC karya,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,AGRA,282002.0,NA ,NA ,NA ,EE RED AGRA,No ,No,14-Aug-2025 10:00 AM,19-Aug-2025 12:30 PM,14-Aug-2025 10:00 AM,19-Aug-2025 12:00 PM,NA ,NA ,14-Aug-2025 10:00 AM,19-Aug-2025 12:00 PM,30-Aug-2025 09:00 AM,1.0,SBI Bank,854.0,Nil,Nil,No,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE AGRA,2025_REDUP_1065222_15,536./NIVIDA AGRA/2025-26 dt 01.08.2025,1. Gram lalpur ke majra ratiya me omprakash ke ghar se sahab singh ke ghar tak CC karya,1,5433070,M/S SAI ENTERPRISES,19-Aug-2025 10:22 AM,Rejected-Finance,L2,30-Aug-2025 01:11 PM,EERED,Internal,,Dinesh Singh,30-Aug-2025 01:11 PM,finsummary_1942233.pdf (93.47 KB),Finance,F,Dinesh Singh,30-Aug-2025 11:48 AM,,BOQ Comparative Chart,1.0,5448891.0,TANYA CONSTRUCTION,INR,"411,194",Technical,TEC,Dinesh Singh,29-Aug-2025 01:14 PM,,01-Sep-2025,"INR 411,194",90.0,Dinesh Singh,15-Sep-2025 03:38 PM,BL.pdf (93.00 KB),EERED,Internal,,Dinesh Singh,29-Aug-2025 01:49 PM,30-Aug-2025 09:00 AM,techsummary_1942233.pdf (93.47 KB),AOC
,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,5448891,TANYA CONSTRUCTION,18-Aug-2025 02:02 PM,Accepted-AOC,L1,15-Sep-2025 03:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
