Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
03-Jun-2025,"INR 418,738",90.0,Rajesh Chaudhary,25-Sep-2025 05:37 PM,Thakurpuraaoc.pdf (674.00 KB),The work is awarded to M/s KC Enterprises,1,5219622,K C ENTERPRISES,27-May-2025 06:07 PM,Accepted-AOC,The rates quoted by the contractor are the lowest,25-Sep-2025 05:37 PM,1.0,5219622.0,K C ENTERPRISES,INR,"418,738",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Banda,2025_SCIDC_1036784_2,30/EE/Jhansi/ET/2025-26,"Janpad Jhansi ke Block Babina Vidhansabha Babina ke Gram Thakurpura me shri Rameshwar Rajpoot ke makan se Bhagirath ke makan ki or 100 mtr apex/drain ka nirman karya (under Scheme SN 2024-25) Hon ble Shri Anurag Sharma Ji, MP, Jhansi-Lalitpur",Finance,Financial Summary,Rajesh Chaudhary,03-Jun-2025 04:53 PM,finance_1891409.pdf,BOQ Comparative Chart,EE,Internal,AE Asstt Acctt,Rajesh Chaudhary,03-Jun-2025 11:24 AM,03-Jun-2025 12:00 PM,techsummary_1891409.pdf (688.85 KB),Technical,Technical Summary,Rajesh Chaudhary,03-Jun-2025 11:22 AM,technical_1891409.pdf,EE,Internal,AE Asstt Acctt,Rajesh Chaudhary,03-Jun-2025 04:55 PM,finsummary_1891409.pdf (454.13 KB),AOC,"8,500",Yes,fixed,,UPSCIDCO,Jhansi,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Banda,30/EE/Jhansi/ET/2025-26,2025_SCIDC_1036784_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"Janpad Jhansi ke Block Babina Vidhansabha Babina ke Gram Thakurpura me shri Rameshwar Rajpoot ke makan se Bhagirath ke makan ki or 100 mtr apex/drain ka nirman karya (under Scheme SN 2024-25) Hon ble Shri Anurag Sharma Ji, MP, Jhansi-Lalitpur","Janpad Jhansi ke Block Babina Vidhansabha Babina ke Gram Thakurpura me shri Rameshwar Rajpoot ke makan se Bhagirath ke makan ki or 100 mtr apex/drain ka nirman karya (under Scheme SN 2024-25) Hon ble Shri Anurag Sharma Ji, MP, Jhansi-Lalitpur",Please refer the tender documents ,NA ,,Civil Works - Others,NA ,Tender,90.0,90.0,Gram Thakurpura Block Babina Jhansi,284401.0,NA ,NA ,NA ,Jhansi,No ,No,1,Fee/PreQual/Technical,.pdf,Technical Document,26-May-2025 11:00 AM,31-May-2025 02:00 PM,26-May-2025 11:00 AM,31-May-2025 01:30 PM,26-May-2025 11:00 AM ,31-May-2025 01:00 PM ,26-May-2025 11:00 AM,31-May-2025 01:30 PM,03-Jun-2025 12:00 PM,1.0,RTGS - RTGS Payment,826.0,UPSCIDCO,Jhansi,Yes,Executive Engineer,UPSCIDCO Jhansi,AOC
,,,,,,,2,5218801,M/S GOVIND DAS ARYA,27-May-2025 01:58 PM,Rejected-Finance,High Rate,03-Jun-2025 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC
