Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE||EE SHAHJAHANPUR,2025_REDUP_1049243_7,413/dt 03.06.2025,rangmahela,1.0,5321125.0,ABHISHEK CONTRACTORS,INR,"1,197,791",1,5321125,ABHISHEK CONTRACTORS,13-Jul-2025 01:48 PM,Accepted-AOC,awarded,12-Sep-2025 02:08 PM,12-Sep-2025,"INR 1,197,791",120.0,Satish Chand Raghvendram,12-Sep-2025 02:08 PM,rangmahila.pdf (314.00 KB),rangmahila,EE RED,Internal,"AE RED, DAO RED",Satish Chand Raghvendram,19-Jul-2025 03:28 PM,25-Jul-2025 12:00 PM,techsummary_1906867.pdf (241.38 KB),Finance,summary,Satish Chand Raghvendram,12-Sep-2025 01:59 PM,,BOQ Comparative Chart,EE RED,Internal,ae red dao red spn,Satish Chand Raghvendram,12-Sep-2025 02:04 PM,finsummary_1906867.pdf (313.75 KB),Technical,summary,Satish Chand Raghvendram,19-Jul-2025 03:19 PM,,AOC,854.0,Nil,Nil,No,EE,2nd floor vikas bhawan,rangmahela,208.00 Mtr CC work from near Mahavir mill to main road via Sita Mathiya in Mohalla Rangmahala,Please refer Tender documents. ,NA ,"11,99,000",Civil Works,NA ,Tender,90.0,120.0,SHAHJAHANPUR,242001.0,NA ,NA ,NA ,VIKAS BHAWAN SHAHJAHANPUR,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE||EE SHAHJAHANPUR,413/dt 03.06.2025,2025_REDUP_1049243_7,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"24,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,nit,18-Jun-2025 12:00 PM,14-Jul-2025 12:30 PM,18-Jun-2025 12:00 PM,14-Jul-2025 12:00 PM,NA ,NA ,18-Jun-2025 12:00 PM,14-Jul-2025 12:00 PM,25-Jul-2025 12:00 PM,AOC
,,,,,,,,,2,5322406,SHIV CONSTRUCTION,13-Jul-2025 06:24 PM,Rejected-Finance,atpar,12-Sep-2025 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,AOC
