Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
25-Sep-2025,"INR 3,244,132",120.0,RAJNEESH KUMAR,25-Sep-2025 03:57 PM,moth_seetlamata.pdf (380.00 KB),FINAL,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2025_REDUP_1061688_3,1340/RED/NIVIDA/2025-26 Dt- 14.07.2025,Moth Nagar panchayat main kile ke pass sheetala mata mandir ke pass shed abam chabutare ka nirman.,1.0,5514162.0,JAYA SRI INDUSTRIES,INR,"3,244,132",1,5514162,JAYA SRI INDUSTRIES,03-Sep-2025 07:02 AM,Accepted-AOC,Y,25-Sep-2025 03:57 PM,Technical,FINAL,RAJNEESH KUMAR,11-Sep-2025 02:02 PM,technical_1934504.pdf,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,20-Sep-2025 12:09 PM,finsummary_1934504.pdf (380.29 KB),Finance,FINAL,RAJNEESH KUMAR,20-Sep-2025 12:07 PM,finance_1934504.pdf,BOQ Comparative Chart,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,11-Sep-2025 02:04 PM,16-Sep-2025 12:30 PM,techsummary_1934504.pdf (199.83 KB),AOC,EE RED JHANSI,EE RED JHANSI,Moth Nagar panchayat main kile ke pass sheetala mata mandir ke pass shed abam chabutare ka nirman.,Moth Nagar panchayat main kile ke pass sheetala mata mandir ke pass shed abam chabutare ka nirman.,Please refer Tender documents. ,NA ,"32,56,000",Civil Works,NA ,Tender,90.0,120.0,Moth Nagar panchayat main kile ke pass sheetala ma,284003.0,NA ,NA ,NA ,EE RED JHANSI,No ,No,31-Jul-2025 04:00 PM,06-Sep-2025 03:30 PM,31-Jul-2025 04:00 PM,06-Sep-2025 12:00 PM,NA ,NA ,31-Jul-2025 04:00 PM,06-Sep-2025 12:00 PM,16-Sep-2025 12:30 PM,1.0,date 2,Date,,"1,63,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,bid,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,1340/RED/NIVIDA/2025-26 Dt- 14.07.2025,2025_REDUP_1061688_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,354",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,2,5512728,M/S ARYAN ASSOCIATE,02-Sep-2025 12:14 PM,Rejected-Finance,N,20-Sep-2025 12:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,AOC
