S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,5505809.0,CHAWLA ELECTRIC HOUSE,28-Aug-2025 05:43 PM,Accepted-AOC,Accepted Lowest Rate,23-Sep-2025 03:05 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Lucknow,2025_SCIDC_1067429_1,38/EE(E)/Shravasti/E-Ten/25-26,"Work of installing high mast lights in various villages from the funds of Smt. Indrani Verma ji, Honable MLA (Legislative Assembly), Bhinga.4rth (Vidhayak Nidhi work)",1.0,5505809.0,CHAWLA ELECTRIC HOUSE,INR,"2,426,484.2",02-Sep-2025,"INR 2,428,670",90.0,Sudhir Kumar,23-Sep-2025 03:04 PM,Karyadesh44.pdf (1320.00 KB),Attached,Shri Sudhir Kumar,Internal,Attached,Sudhir Kumar,01-Sep-2025 06:10 PM,finsummary_1946760.pdf (670.44 KB),Technical,Attached,Sudhir Kumar,30-Aug-2025 05:05 PM,technical_1946760.pdf,Shri Sudhir Kumar,Internal,Attached,Sudhir Kumar,30-Aug-2025 05:09 PM,30-Aug-2025 05:10 PM,techsummary_1946760.pdf (544.92 KB),Finance,Attached,Sudhir Kumar,01-Sep-2025 05:42 PM,finance_1946760.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,"Tender fee, EMD and Document",22-Aug-2025 05:00 PM,29-Aug-2025 01:00 PM,22-Aug-2025 05:00 PM,29-Aug-2025 12:00 PM,NA ,NA ,22-Aug-2025 05:00 PM,29-Aug-2025 12:00 PM,30-Aug-2025 05:10 PM,"49,000",No,fixed,,UPSCIDCOLTD,Bhinga,U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Lucknow,38/EE(E)/Shravasti/E-Ten/25-26,2025_SCIDC_1067429_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,DD - Demand Draft,Executive Engineer (E),"UPSCIDCO LTD Tikoni Bagh Police Chauki,Siddiqui Masjid ke pass, Najirpur Bahraich.","Work of installing high mast lights in various villages from the funds of Smt. Indrani Verma ji, Honable MLA (Legislative Assembly), Bhinga.4rth (Vidhayak Nidhi work)","Work of installing high mast lights in various villages from the funds of Smt. Indrani Verma ji, Honable MLA (Legislative Assembly), Bhinga.4rth (Vidhayak Nidhi work)","Work of installing high mast lights in various villages from the funds of Smt. Indrani Verma ji, Honable MLA (Legislative Assembly), Bhinga.4rth (Vidhayak Nidhi work) ",NA ,,Electrical Works,NA ,Tender,90.0,90.0,Shravasti,271805.0,NA ,NA ,NA ,"Tikoni Bagh Police Chauki,Siddiqui Masjid ke pass,",No ,No,"1,655",UPSCIDCOLTD,Bhinga,No,AOC
2.0,5505899.0,Excellent Constructions,28-Aug-2025 06:09 PM,Rejected-Finance,Quoted Amount Rate in High,01-Sep-2025 06:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,AOC
